study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	se	geomean	median	min	max	sd	cv	unit	comments
Abdollahizad2025	all	24.0	REF5	auc_end	apixaban	plasma	LC MS/MS	48.0	hr	1310.6	101.2	1222.9	NA	NA	NA	NA	NA	ng/ml*hr	NA
Abdollahizad2025	all	24.0	REF5	auc_inf	apixaban	plasma	LC MS/MS	NA	NA	1406.5	105.2	1319.8	NA	NA	NA	NA	NA	ng/ml*hr	NA
Abdollahizad2025	all	24.0	REF5	cmax	apixaban	plasma	LC MS/MS	NA	NA	157.6	12.5	145.7	NA	NA	NA	NA	NA	ng/ml	NA
Abdollahizad2025	all	24.0	REF5	tmax	apixaban	plasma	LC MS/MS	NA	NA	NA	NA	NA	2.5	1.0	3.5	NA	NA	hr	NA
Abdollahizad2025	all	24.0	REF5	kel	apixaban	plasma	LC MS/MS	NA	NA	0.075	0.005	0.069	NA	NA	NA	NA	NA	1/hr	NA
Abdollahizad2025	all	24.0	REF5	thalf	apixaban	plasma	LC MS/MS	NA	NA	11.1	1.4	9.95	NA	NA	NA	NA	NA	hr	NA
Abdollahizad2025	all	24.0	TEST5	auc_end	apixaban	plasma	LC MS/MS	48.0	hr	1284.0	85.1	1207.2	NA	NA	NA	NA	NA	ng/ml*hr	NA
Abdollahizad2025	all	24.0	TEST5	auc_inf	apixaban	plasma	LC MS/MS	NA	NA	1368.2	88.7	1290.6	NA	NA	NA	NA	NA	ng/ml*hr	NA
Abdollahizad2025	all	24.0	TEST5	cmax	apixaban	plasma	LC MS/MS	NA	NA	157.4	10.1	149.8	NA	NA	NA	NA	NA	ng/ml	NA
Abdollahizad2025	all	24.0	TEST5	tmax	apixaban	plasma	LC MS/MS	NA	NA	NA	NA	NA	2.5	1.5	4.0	NA	NA	hr	NA
Abdollahizad2025	all	24.0	TEST5	kel	apixaban	plasma	LC MS/MS	NA	NA	0.072	0.004	0.069	NA	NA	NA	NA	NA	1/hr	NA
Abdollahizad2025	all	24.0	TEST5	thalf	apixaban	plasma	LC MS/MS	NA	NA	10.4	0.6	10.0	NA	NA	NA	NA	NA	hr	NA
