study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	geomean	median	min	max	sd	geosd	se	cv	unit	comments
Bashir2018	all	12.0	API10	cmax	apixaban	plasma	HPLC MS/MS	NA	NA	NA	179.0	NA	147.0	219.0	NA	NA	NA	NA	ng/ml	NA
Bashir2018	all	12.0	API10	auc_end	apixaban	plasma	HPLC MS/MS	72.0	hr	NA	1684.0	NA	1427.0	1987.0	NA	NA	NA	NA	ng*hr/ml	NA
Bashir2018	all	12.0	API10	auc_inf	apixaban	plasma	HPLC MS/MS	NA	NA	NA	1875.0	NA	1619.0	2172.0	NA	NA	NA	NA	ng*hr/ml	NA
Bashir2018	all	12.0	API10	tmax	apixaban	plasma	HPLC MS/MS	NA	NA	NA	NA	2.5	1.0	4.0	NA	NA	NA	NA	hr	NA
Bashir2018	all	12.0	API10	thalf	apixaban	plasma	HPLC MS/MS	NA	NA	12.1	NA	NA	5.0	23.0	7.0	NA	NA	NA	hr	NA
Bashir2018	all	12.0	API10	vd	apixaban	plasma	HPLC MS/MS	NA	NA	89.0	NA	NA	45.0	187.0	48.0	NA	NA	NA	l	NA
Bashir2018	all	12.0	API10, CYC100	cmax	apixaban	plasma	HPLC MS/MS	NA	NA	NA	257.0	NA	211.0	313.0	NA	NA	NA	NA	ng/ml	NA
Bashir2018	all	12.0	API10, CYC100	auc_end	apixaban	plasma	HPLC MS/MS	72.0	hr	NA	2018.0	NA	1710.0	2381.0	NA	NA	NA	NA	ng*hr/ml	NA
Bashir2018	all	12.0	API10, CYC100	auc_inf	apixaban	plasma	HPLC MS/MS	NA	NA	NA	2237.0	NA	1931.0	2591.0	NA	NA	NA	NA	ng*hr/ml	NA
Bashir2018	all	12.0	API10, CYC100	tmax	apixaban	plasma	HPLC MS/MS	NA	NA	NA	NA	2.5	1.0	4.0	NA	NA	NA	NA	hr	NA
Bashir2018	all	12.0	API10, CYC100	thalf	apixaban	plasma	HPLC MS/MS	NA	NA	6.8	NA	NA	4.0	17.0	3.5	NA	NA	NA	hr	NA
Bashir2018	all	12.0	API10, CYC100	vd	apixaban	plasma	HPLC MS/MS	NA	NA	45.0	NA	NA	25.0	144.0	32.0	NA	NA	NA	l	NA
Bashir2018	all	12.0	API10, TAC5	cmax	apixaban	plasma	HPLC MS/MS	NA	NA	NA	157.0	NA	129.0	191.0	NA	NA	NA	NA	ng/ml	NA
Bashir2018	all	12.0	API10, TAC5	auc_end	apixaban	plasma	HPLC MS/MS	72.0	hr	NA	1318.0	NA	1117.0	1555.0	NA	NA	NA	NA	ng*hr/ml	NA
Bashir2018	all	12.0	API10, TAC5	auc_inf	apixaban	plasma	HPLC MS/MS	NA	NA	NA	1448.0	NA	1251.0	1678.0	NA	NA	NA	NA	ng*hr/ml	NA
Bashir2018	all	12.0	API10, TAC5	tmax	apixaban	plasma	HPLC MS/MS	NA	NA	NA	NA	2.5	1.0	4.0	NA	NA	NA	NA	hr	NA
Bashir2018	all	12.0	API10, TAC5	thalf	apixaban	plasma	HPLC MS/MS	NA	NA	7.0	NA	NA	5.0	11.0	1.9	NA	NA	NA	hr	NA
Bashir2018	all	12.0	API10, TAC5	vd	apixaban	plasma	HPLC MS/MS	NA	NA	72.0	NA	NA	31.0	122.0	27.0	NA	NA	NA	l	NA
