study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	geomean	median	min	max	sd	geosd	se	cv	unit	comments
Chang2016	normal 	8.0	API10	cmax	apixaban	plasma	HPLC MS/MS	NA	NA	NA	224	NA	NA	NA	NA	5604.47820943217	NA	25.0	ng/ml	geo mean was taken from the table and used to calculate the geo SD, no normal mean given
Chang2016	normal 	8.0	API10	tmax	apixaban	plasma	HPLC MS/MS	NA	NA	NA	NA	2.8	2.0	4.0	NA	NA	NA	NA	hr	NA
Chang2016	normal 	8.0	API10	auc_inf	apixaban	plasma	HPLC MS/MS	NA	NA	NA	2528	NA	NA	NA	NA	65776.5974188389	NA	26.0	ng*hr/ml	NA
Chang2016	normal 	8.0	API10	thalf	apixaban	plasma	HPLC MS/MS	NA	NA	15.1	NA	NA	NA	NA	7.6	NA	NA	NA	hr	NA
Chang2016	normal 	8.0	API10	oral clearance	apixaban	plasma	HPLC MS/MS	NA	NA	NA	65.9	NA	NA	NA	NA	1319.6464715976	NA	20.0	ml/min	NA
Chang2016	normal 	8.0	API10	clearance_renal	apixaban	plasma	HPLC MS/MS	NA	NA	NA	6.83	NA	NA	NA	NA	225.493461102534	NA	33.0	ml/min	NA
Chang2016	mild	10.0	API10	cmax	apixaban	plasma	HPLC MS/MS	NA	NA	NA	229	NA	NA	NA	NA	7560.46890080238	NA	33.0	ng/ml	NA
Chang2016	mild	10.0	API10	tmax	apixaban	plasma	HPLC MS/MS	NA	NA	NA	NA	4.0	1.0	6.0	NA	NA	NA	NA	hr	NA
Chang2016	mild	10.0	API10	auc_inf	apixaban	plasma	HPLC MS/MS	NA	NA	NA	3288	NA	NA	NA	NA	121700.424321364	NA	37.0	ng*hr/ml	NA
Chang2016	mild	10.0	API10	thalf	apixaban	plasma	HPLC MS/MS	NA	NA	14.6	NA	NA	NA	NA	7.3	NA	NA	NA	hr	NA
Chang2016	mild	10.0	API10	oral clearance	apixaban	plasma	HPLC MS/MS	NA	NA	NA	37.2	NA	NA	NA	NA	1265.3469405661	NA	34.0	ml/min	NA
Chang2016	mild	10.0	API10	clearance_renal	apixaban	plasma	HPLC MS/MS	NA	NA	NA	1.94	NA	NA	NA	NA	102.838300258221	NA	53.0	ml/min	NA
Chang2016	moderate	7.0	API10	cmax	apixaban	plasma	HPLC MS/MS	NA	NA	NA	288	NA	NA	NA	NA	5191.99383666814	NA	18.0	ng/ml	NA
Chang2016	moderate	7.0	API10	tmax	apixaban	plasma	HPLC MS/MS	NA	NA	NA	 	4.0	3.0	4.0	NA	NA	NA	NA	hr	NA
Chang2016	moderate	7.0	API10	auc_inf	apixaban	plasma	HPLC MS/MS	NA	NA	NA	4479	NA	NA	NA	NA	103114.323592797	NA	23.0	ng*hr/ml	NA
Chang2016	moderate	7.0	API10	thalf	apixaban	plasma	HPLC MS/MS	NA	NA	17.6	NA	NA	NA	NA	6.0	NA	NA	NA	hr	NA
Chang2016	moderate	7.0	API10	oral clearance	apixaban	plasma	HPLC MS/MS	NA	NA	NA	37.2	NA	NA	NA	NA	782.085212748586	NA	21.0	ml/min	NA
Chang2016	moderate	7.0	API10	clearance_renal	apixaban	plasma	HPLC MS/MS	NA	NA	NA	1.94	NA	NA	NA	NA	172.670898532439	NA	89.0	ml/min	NA
Chang2016	severe	7.0	API10	cmax	apixaban	plasma	HPLC MS/MS	NA	NA	NA	210	NA	NA	NA	NA	7772.83731979513	NA	37.0	ng/ml	NA
Chang2016	severe	7.0	API10	tmax	apixaban	plasma	HPLC MS/MS	NA	NA	NA	NA	4.0	3.0	4.0	NA	NA	NA	NA	hr	NA
Chang2016	severe	7.0	API10	auc_inf	apixaban	plasma	HPLC MS/MS	NA	NA	NA	3221	NA	NA	NA	NA	157861.863925395	NA	49.0	ng*hr/ml	NA
Chang2016	severe	7.0	API10	thalf	apixaban	plasma	HPLC MS/MS	NA	NA	17.3	NA	NA	NA	NA	7.4	NA	NA	NA	hr	NA
Chang2016	severe	7.0	API10	oral clearance	apixaban	plasma	HPLC MS/MS	NA	NA	NA	51.7	NA	NA	NA	NA	3567.67461801101	NA	69.0	ml/min	NA
Chang2016	severe	7.0	API10	clearance_renal	apixaban	plasma	HPLC MS/MS	NA	NA	NA	1.94	NA	NA	NA	NA	87.3215528950327	NA	45.0	ml/min	NA
