study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments
Cui2013	API10	12.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	0.0	hr	NA	0.0	NA	NA	NA	ng/ml	NA
Cui2013	API10	12.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	0.5	hr	NA	52.7902068567413	99.5272315775184	46.7370247207771	13.4918169018314	ng/ml	NA
Cui2013	API10	12.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	1.0	hr	NA	121.8265426789	180.161720470245	58.335177791345	16.8399153005289	ng/ml	NA
Cui2013	API10	12.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	2.0	hr	NA	211.768826583482	266.33342440035	54.564597816868	15.7514426188962	ng/ml	NA
Cui2013	API10	12.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	3.0	hr	NA	232.634924435698	296.580691345288	63.94576690959	18.4595528693944	ng/ml	NA
Cui2013	API10	12.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	4.0	hr	NA	211.593415075208	284.698342644011	73.104927568803	21.1035748054683	ng/ml	NA
Cui2013	API10	12.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	6.0	hr	NA	150.897304442284	203.042412674321	52.145108232037	15.0529961373444	ng/ml	NA
Cui2013	API10	12.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	9.0	hr	NA	92.7413082644455	128.209337577798	35.4680293133525	10.2387381358448	ng/ml	NA
Cui2013	API10	12.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	12.0	hr	NA	60.9763760191896	82.047791037966	21.0714150187764	6.08279356664844	ng/ml	NA
Cui2013	API10	12.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	18.0	hr	NA	28.1976266120651	36.9316895985715	8.7340629865064	2.52130680818931	ng/ml	NA
Cui2013	API10	12.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	24.0	hr	NA	20.6269859271128	29.2954971668979	8.6685112397851	2.50238364888161	ng/ml	NA
Cui2013	API10	12.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	36.0	hr	NA	7.56638462264189	11.6528456382158	4.08646101557391	1.17965968368725	ng/ml	NA
Cui2013	API10	12.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	48.0	hr	NA	4.63490270230766	7.63507624984364	3.00017354753598	0.866075502642746	ng/ml	NA
Cui2013	API10	12.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	60.0	hr	NA	2.91637934408533	4.49099537485714	1.57461603077181	0.454552494618202	ng/ml	NA
Cui2013	API10	12.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	72.0	hr	NA	2.01679949052215	3.10603469402817	1.08923520350602	0.314435118977509	ng/ml	NA
Cui2013	API10	12.0	API10M	concentration	apixaban	plasma	LC MS/MS	apixaban_API10M	0.0	hr	NA	108.670522201481	107.250274636952	1.42024756452901	0.409990156848366	ng/ml	NA
Cui2013	API10	12.0	API10M	concentration	apixaban	plasma	LC MS/MS	apixaban_API10M	0.5	hr	NA	165.413771839349	165.413771839349	0.0	0.0	ng/ml	NA
Cui2013	API10	12.0	API10M	concentration	apixaban	plasma	LC MS/MS	apixaban_API10M	1.0	hr	NA	232.71317000751	232.71848508103	0.00531507351999494	0.00153432956376587	ng/ml	NA
Cui2013	API10	12.0	API10M	concentration	apixaban	plasma	LC MS/MS	apixaban_API10M	2.0	hr	NA	287.075654100043	294.722387129351	7.646733029308	2.20742168644609	ng/ml	NA
