study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	cv	median	min	max	sd	se	unit	comments
Cui2013	API10	12.0	API10	cmax	apixaban	plasma	LC MS/MS	NA	hr	233.9	26.0	NA	NA	NA	60.814	NA	ng/ml	geometric mean 
Cui2013	API10	12.0	API10	tmax	apixaban	plasma	LC MS/MS	NA	hr	NA	NA	3.0	2.0	4.0	NA	NA	hr	NA
Cui2013	API10	12.0	API10	auc_end	apixaban	plasma	LC MS/MS	72.0	hr	2.273	27.0	NA	NA	NA	0.6137100000000001	NA	ng*hr/ml	NA
Cui2013	API10	12.0	API10	auc_inf	apixaban	plasma	LC MS/MS	NA	hr	2.308	27.0	NA	NA	NA	0.62316	NA	ng*hr/ml	geometric mean 
Cui2013	API10	12.0	API10	thalf	apixaban	plasma	LC MS/MS	NA	hr	11.4	NA	NA	NA	NA	3.6	NA	hr	NA
Cui2013	API10	12.0	API10	clearance_renal	apixaban	urine	LC MS/MS	NA	hr	1.17	NA	NA	NA	NA	0.2	NA	l/hr	NA
Cui2013	API10	12.0	API10M	cmax	apixaban	plasma	LC MS/MS	NA	hr	336.3	24.0	NA	NA	NA	80.712	NA	ng/ml	geometric mean 
Cui2013	API10	12.0	API10M	tmax	apixaban	plasma	LC MS/MS	NA	hr	NA	NA	3.5	2.0	4.0	NA	NA	hr	NA
Cui2013	API10	12.0	API10M	cmin	apixaban	plasma	LC MS/MS	NA	hr	116.0	30.0	NA	NA	NA	34.8	NA	ng/ml	geometric mean 
Cui2013	API10	12.0	API10M	auc_end	apixaban	plasma	LC MS/MS	72.0	hr	2.703	24.0	NA	NA	NA	0.64872	NA	ng*hr/ml	geometric mean, AUC_tau last dose
Cui2013	API10	12.0	API10M	thalf	apixaban	plasma	LC MS/MS	NA	hr	10.8	4.9	NA	NA	NA	1.8	NA	hr	NA
Cui2013	API10	12.0	API10M	clearance_renal	apixaban	urine	LC MS/MS	NA	hr	1.2	NA	NA	NA	NA	0.26	NA	l/hr	NA
