study	name	group_count	parent	measurement_type	count	substance	choice	mean	median	sd	se	min	max	unit	comments
Frost2017	all	39.0	NA	species	39.0	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Frost2017	all	39.0	NA	healthy	39.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Frost2017	all	39.0	NA	sex	39.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Frost2017	all	39.0	NA	overnight fast	39.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Frost2017	api_dig	24.0	all	age	24.0	NA	NA	31.0	NA	7.0	NA	22.0	45.0	yr	NA
Frost2017	api_dig	24.0	all	sex	24.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Frost2017	api_dig	24.0	all	ethnicity	24.0	NA	caucasian	10.0	NA	NA	NA	NA	NA	NA	NA
Frost2017	api_dig	24.0	all	ethnicity	24.0	NA	black	11.0	NA	NA	NA	NA	NA	NA	NA
Frost2017	api_dig	24.0	all	ethnicity	24.0	NA	asian	3.0	NA	NA	NA	NA	NA	NA	NA
Frost2017	api_dig	24.0	all	ethnicity	24.0	NA	hispanic	4.0	NA	NA	NA	NA	NA	NA	NA
Frost2017	api_dig	24.0	all	weight	24.0	NA	NA	73.8	NA	10.0	NA	51.0	91.4	kg	NA
Frost2017	api_dig	24.0	all	bmi	24.0	NA	NA	24.3	NA	2.6	NA	18.8	29.8	kg/m^2	NA
Frost2017	api_aten	15.0	all	age	15.0	NA	NA	29.0	NA	8.0	NA	18.0	44.0	yr	NA
Frost2017	api_aten	15.0	all	sex	13.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Frost2017	api_aten	15.0	all	sex	2.0	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Frost2017	api_aten	15.0	all	ethnicity	15.0	NA	caucasian	8.0	NA	NA	NA	NA	NA	NA	NA
Frost2017	api_aten	15.0	all	ethnicity	15.0	NA	black	7.0	NA	NA	NA	NA	NA	NA	NA
Frost2017	api_aten	15.0	all	ethnicity	15.0	NA	hispanic	7.0	NA	NA	NA	NA	NA	NA	NA
Frost2017	api_aten	15.0	all	weight	15.0	NA	NA	80.9	NA	10.4	NA	58.3	97.1	kg	NA
Frost2017	api_aten	15.0	all	bmi	15.0	NA	NA	26.4	NA	1.9	NA	22.9	30.0	kg/m^2	NA
