study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	sd	se	min	max	cv	unit	comments
Frost2021	NA	group1	6.0	IV0_5	cmax	apixaban	plasma	calculated	cmax_group1_IV0_5	NA	NA	53.0	14.204	5.798758717748711	NA	NA	26.8	ng/ml	wrong units in table, geometric mean
Frost2021	NA	group1	6.0	IV0_5	cmax	apixaban	plasma	calculated	cmax_group1_IV0_5	NA	NA	55.4	14.8	6.042074698865173	NA	NA	NA	ng/ml	wrong units in table
Frost2021	NA	group1	6.0	IV0_5	auc_inf	apixaban	plasma	calculated	auc_inf_group1_IV0_5	NA	NA	145.7	21.854999999999997	8.922266388087726	NA	NA	15.0	ng*hr/ml	geometric mean
Frost2021	NA	group1	6.0	IV0_5	auc_inf	apixaban	plasma	calculated	auc_inf_group1_IV0_5	NA	NA	147.1	21.7	8.858987903065827	NA	NA	NA	ng*hr/ml	NA
Frost2021	NA	group1	6.0	IV0_5	tmax	apixaban	plasma	calculated	tmax_group1_IV0_5	NA	NA	0.07	NA	NA	0.05	0.17	NA	hr	median
Frost2021	NA	group1	6.0	IV0_5	thalf	apixaban	plasma	calculated	thalf_group1_IV0_5	NA	NA	3.71	0.88	0.3592584956081995	NA	NA	NA	hr	NA
Frost2021	NA	group1	6.0	IV0_5	vd_ss	apixaban	plasma	calculated	vd_ss_group1_IV0_5	NA	NA	17.09	3.5	1.4288690166235207	NA	NA	NA	l	NA
Frost2021	NA	group1	6.0	IV0_5	clearance	apixaban	plasma	calculated	clearance_group1_IV0_5	NA	NA	3.47	0.54	0.22045407685048607	NA	NA	NA	l/hr	NA
Frost2021	NA	group1	6.0	IV0_5	clearance_renal	apixaban	kidney	calculated	clearance_renal_group1_IV0_5	NA	NA	1.1	0.32	0.13063945294843618	NA	NA	NA	l/hr	NA
Frost2021	NA	group1	6.0	IV0_5	cumulative amount	apixaban	kidney	calculated	cumulative amount_group1_IV0_5	60.0	hr	0.1585014409221902	0.10458479884506776	NA	NA	NA	NA	mg	time assumed
Frost2021	NA	group2	6.0	IV1_25	cmax	apixaban	plasma	calculated	cmax_group2_IV1_25	NA	NA	105.9	30.075599999999998	12.278312284674959	NA	NA	28.4	ng/ml	wrong units in table, geometric mean
Frost2021	NA	group2	6.0	IV1_25	cmax	apixaban	plasma	calculated	cmax_group2_IV1_25	NA	NA	109.0	31.0	12.655697004379755	NA	NA	NA	ng/ml	wrong units in table
Frost2021	NA	group2	6.0	IV1_25	auc_inf	apixaban	plasma	calculated	auc_inf_group2_IV1_25	NA	NA	365.4	84.042	34.31000282716398	NA	NA	23.0	ng*hr/ml	geometric mean
Frost2021	NA	group2	6.0	IV1_25	auc_inf	apixaban	plasma	calculated	auc_inf_group2_IV1_25	NA	NA	373.1	87.4	35.68090058654163	NA	NA	NA	ng*hr/ml	NA
Frost2021	NA	group2	6.0	IV1_25	tmax	apixaban	plasma	calculated	tmax_group2_IV1_25	NA	NA	0.05	NA	NA	0.03	0.07	NA	hr	median
Frost2021	NA	group2	6.0	IV1_25	thalf	apixaban	plasma	calculated	thalf_group2_IV1_25	NA	NA	4.44	0.4	0.16329931618554522	NA	NA	NA	hr	NA
Frost2021	NA	group2	6.0	IV1_25	vd_ss	apixaban	plasma	calculated	vd_ss_group2_IV1_25	NA	NA	19.36	2.33	0.9512185167808009	NA	NA	NA	l	NA
