study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	sd	se	geomean	median	min	max	cv	unit	comments
Wang2014	NA	all	18.0	API20	auc_end	apixaban	plasma	HPLC MS/MS	API20_auc_end_all_apixaban	72.0	hr	NA	NA	NA	4080.0	NA	NA	NA	27.0	ng*hr/ml	NA
Wang2014	NA	all	18.0	API20	auc_inf	apixaban	plasma	HPLC MS/MS	API20_auc_inf_all_apixaban	NA	NA	NA	NA	NA	4185.0	NA	NA	NA	26.0	ng*hr/ml	NA
Wang2014	NA	all	18.0	API20	cmax	apixaban	plasma	HPLC MS/MS	API20_cmax_all_apixaban	NA	NA	NA	NA	NA	380.0	NA	NA	NA	30.0	ng/ml	NA
Wang2014	NA	all	18.0	API20	tmax	apixaban	plasma	HPLC MS/MS	API20_tmax_all_apixaban	NA	NA	NA	NA	NA	NA	2.5	1.0	4.0	NA	hr	NA
Wang2014	NA	all	18.0	API20	thalf	apixaban	plasma	HPLC MS/MS	API20_thalf_all_apixaban	NA	NA	13.4	5.1	NA	NA	NA	NA	NA	NA	hr	NA
Wang2014	NA	all	14.0	API20, AC50_2hr	auc_end	apixaban	plasma	HPLC MS/MS	API20, AC50_2hr_auc_end_all_apixaban	48.0	hr	NA	NA	NA	2007.0	NA	NA	NA	30.0	ng*hr/ml	NA
Wang2014	NA	all	14.0	API20, AC50_2hr	auc_inf	apixaban	plasma	HPLC MS/MS	API20, AC50_2hr_auc_inf_all_apixaban	NA	NA	NA	NA	NA	2034.0	NA	NA	NA	30.0	ng*hr/ml	NA
Wang2014	NA	all	14.0	API20, AC50_2hr	cmax	apixaban	plasma	HPLC MS/MS	API20, AC50_2hr_cmax_all_apixaban	NA	NA	NA	NA	NA	366.0	NA	NA	NA	34.0	ng/ml	NA
Wang2014	NA	all	14.0	API20, AC50_2hr	tmax	apixaban	plasma	HPLC MS/MS	API20, AC50_2hr_tmax_all_apixaban	NA	NA	NA	NA	NA	NA	2.5	1.5	2.5	NA	hr	NA
Wang2014	NA	all	14.0	API20, AC50_2hr	thalf	apixaban	plasma	HPLC MS/MS	API20, AC50_2hr_thalf_all_apixaban	NA	NA	5.3	1.1	NA	NA	NA	NA	NA	NA	hr	NA
Wang2014	NA	all	17.0	API20, AC50_6hr	auc_end	apixaban	plasma	HPLC MS/MS	API20, AC50_6hr_auc_end_all_apixaban	48.0	hr	NA	NA	NA	2954.0	NA	NA	NA	32.0	ng*hr/ml	NA
Wang2014	NA	all	17.0	API20, AC50_6hr	auc_inf	apixaban	plasma	HPLC MS/MS	API20, AC50_6hr_auc_inf_all_apixaban	NA	NA	NA	NA	NA	2976.0	NA	NA	NA	32.0	ng*hr/ml	NA
Wang2014	NA	all	17.0	API20, AC50_6hr	cmax	apixaban	plasma	HPLC MS/MS	API20, AC50_6hr_cmax_all_apixaban	NA	NA	NA	NA	NA	383.0	NA	NA	NA	30.0	ng/ml	NA
Wang2014	NA	all	17.0	API20, AC50_6hr	tmax	apixaban	plasma	HPLC MS/MS	API20, AC50_6hr_tmax_all_apixaban	NA	NA	NA	NA	NA	NA	2.5	1.5	4.0	NA	hr	NA
Wang2014	NA	all	17.0	API20, AC50_6hr	thalf	apixaban	plasma	HPLC MS/MS	API20, AC50_6hr_thalf_all_apixaban	NA	NA	4.9	1.2	NA	NA	NA	NA	NA	NA	hr	NA
