study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	se	sd	unit	comments
Wang2016	NA	healthy	8.0	API5	inr	NA	plasma	coagulation assay	inr_healthy	0.0	hr	NA	0.166984064223581	0.249994557645419	0.083010493421838	0.234789131232892	dimensionless	NA
Wang2016	NA	healthy	8.0	API5	inr	NA	plasma	coagulation assay	inr_healthy	0.5	hr	NA	0.296562346723255	0.468722788227098	0.172160441503843	0.486943262557749	dimensionless	NA
Wang2016	NA	healthy	8.0	API5	inr	NA	plasma	coagulation assay	inr_healthy	1.5	hr	NA	0.526927908629543	0.652701584813653	0.12577367618411	0.355741677298181	dimensionless	NA
Wang2016	NA	healthy	8.0	API5	inr	NA	plasma	coagulation assay	inr_healthy	3.0	hr	NA	0.852326303040009	1.12832527864855	0.275998975608541	0.78064298901336	dimensionless	NA
Wang2016	NA	healthy	8.0	API5	inr	NA	plasma	coagulation assay	inr_healthy	6.0	hr	NA	0.322691965045394	0.378183777429466	0.055491812384072	0.156954547348436	dimensionless	NA
Wang2016	NA	healthy	8.0	API5	inr	NA	plasma	coagulation assay	inr_healthy	12.0	hr	NA	0.507194622676449	0.732061999303378	0.224867376626929	0.636020987522124	dimensionless	NA
Wang2016	NA	healthy	8.0	API5	inr	NA	plasma	coagulation assay	inr_healthy	24.0	hr	NA	0.173699462467843	0.255785222918843	0.082085760451	0.232173591415026	dimensionless	NA
Wang2016	NA	healthy	8.0	API5	inr	NA	plasma	coagulation assay	inr_healthy	48.0	hr	NA	0.22072601875857	0.3761592215256	0.15543320276703	0.439631486792442	dimensionless	NA
Wang2016	NA	healthy	8.0	API5	inr	NA	plasma	coagulation assay	inr_healthy	72.0	hr	NA	0.22744892443519	0.28125	0.05380107556481	0.152172421468028	dimensionless	NA
Wang2016	NA	esrd	8.0	DIALYSIS_POST	inr	NA	plasma	coagulation assay	inr_esrd_P1	0.0	hr	NA	0.42610309206114	0.565972222222222	0.139869130161082	0.39560964166226	dimensionless	period 1
Wang2016	NA	esrd	8.0	DIALYSIS_POST	inr	NA	plasma	coagulation assay	inr_esrd_P1	0.5	hr	NA	0.552802274251509	0.729139454893765	0.176337180642256	0.498756864829826	dimensionless	period 1
Wang2016	NA	esrd	8.0	DIALYSIS_POST	inr	NA	plasma	coagulation assay	inr_esrd_P1	1.5	hr	NA	0.702556781213401	0.958262582723789	0.255705801510388	0.723245224946947	dimensionless	period 1
Wang2016	NA	esrd	8.0	DIALYSIS_POST	inr	NA	plasma	coagulation assay	inr_esrd_P1	2.0	hr	NA	0.866688021140929	1.04851314872866	0.181825127587731	0.514279122829575	dimensionless	period 1
Wang2016	NA	esrd	8.0	DIALYSIS_POST	inr	NA	plasma	coagulation assay	inr_esrd_P1	2.5	hr	NA	0.768813625489234	0.944319270289097	0.175505644799863	0.496404926298003	dimensionless	period 1
Wang2016	NA	esrd	8.0	DIALYSIS_POST	inr	NA	plasma	coagulation assay	inr_esrd_P1	3.0	hr	NA	0.656551235723366	0.829708725182862	0.173157489459496	0.489763340040191	dimensionless	period 1
Wang2016	NA	esrd	8.0	DIALYSIS_POST	inr	NA	plasma	coagulation assay	inr_esrd_P1	4.0	hr	NA	0.630680623817579	0.79841518634622	0.167734562528641	0.474424986413444	dimensionless	period 1
Wang2016	NA	esrd	8.0	DIALYSIS_POST	inr	NA	plasma	coagulation assay	inr_esrd_P1	6.0	hr	NA	0.639396752785257	0.860822666318355	0.221425913533098	0.626287059958719	dimensionless	period 1
Wang2016	NA	esrd	8.0	DIALYSIS_POST	inr	NA	plasma	coagulation assay	inr_esrd_P1	12.0	hr	NA	0.64251609093002	0.850112112504353	0.207596021574333	0.587170218410239	dimensionless	period 1
Wang2016	NA	esrd	8.0	DIALYSIS_POST	inr	NA	plasma	coagulation assay	inr_esrd_P1	24.0	hr	NA	0.628597311338224	0.832174111807732	0.203576800469508	0.575802144416999	dimensionless	period 1
Wang2016	NA	esrd	8.0	DIALYSIS_POST	inr	NA	plasma	coagulation assay	inr_esrd_P1	48.0	hr	NA	0.606517952773245	0.84490377917102	0.238385826397775	0.674256937538503	dimensionless	period 1
Wang2016	NA	esrd	8.0	DIALYSIS_POST	inr	NA	plasma	coagulation assay	inr_esrd_P1	72.0	hr	NA	0.595966256594028	0.746527777777777	0.150561521183749	0.425852290459164	dimensionless	period 1
