study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	cv	median	min	max	sd	se	unit	comments
Mendell2013b	low_asp	34.0	ED60x5, ASA100	prothrombin time	NA	plasma	coagulation assay	NA	NA	4.2	NA	NA	NA	NA	1.64	NA	sec	NA
Mendell2013b	low_asp	34.0	ED60x5, ASA100	aPTT	NA	plasma	coagulation assay	NA	NA	13.9	NA	NA	NA	NA	6.54	NA	sec	NA
Mendell2013b	low_asp	34.0	ED60x5, ASA100	inr	NA	plasma	coagulation assay	NA	NA	0.36	NA	NA	NA	NA	0.16	NA	dimensionless	NA
Mendell2013b	low_asp	34.0	ED60x5	prothrombin time	NA	plasma	coagulation assay	NA	NA	4.3	NA	NA	NA	NA	3.0	NA	sec	NA
Mendell2013b	low_asp	34.0	ED60x5	aPTT	NA	plasma	coagulation assay	NA	NA	13.3	NA	NA	NA	NA	4.63	NA	sec	NA
Mendell2013b	low_asp	34.0	ED60x5	inr	NA	plasma	coagulation assay	NA	NA	0.36	NA	NA	NA	NA	0.27	NA	dimensionless	NA
Mendell2013b	low_asp	34.0	ASA100	prothrombin time	NA	plasma	coagulation assay	NA	NA	0.3	NA	NA	NA	NA	0.75	NA	sec	NA
Mendell2013b	low_asp	34.0	ASA100	aPTT	NA	plasma	coagulation assay	NA	NA	0.6	NA	NA	NA	NA	2.43	NA	sec	NA
Mendell2013b	low_asp	34.0	ASA100	inr	NA	plasma	coagulation assay	NA	NA	0.04	NA	NA	NA	NA	0.09	NA	dimensionless	NA
Mendell2013b	high_asp_1	25.0	ED60x5, ASA325	prothrombin time	NA	plasma	coagulation assay	NA	NA	6.0	NA	NA	NA	NA	2.39	NA	sec	NA
Mendell2013b	high_asp_1	25.0	ED60x5, ASA325	aPTT	NA	plasma	coagulation assay	NA	NA	13.9	NA	NA	NA	NA	4.43	NA	sec	NA
Mendell2013b	high_asp_1	25.0	ED60x5, ASA325	inr	NA	plasma	coagulation assay	NA	NA	0.5	NA	NA	NA	NA	0.2	NA	dimensionless	NA
Mendell2013b	high_asp_2	25.0	ED60x5, ASA325	prothrombin time	NA	plasma	coagulation assay	NA	NA	5.0	NA	NA	NA	NA	1.86	NA	sec	NA
Mendell2013b	high_asp_2	25.0	ED60x5, ASA325	aPTT	NA	plasma	coagulation assay	NA	NA	14.0	NA	NA	NA	NA	3.92	NA	sec	NA
Mendell2013b	high_asp_2	25.0	ED60x5, ASA325	inr	NA	plasma	coagulation assay	NA	NA	0.46	NA	NA	NA	NA	0.163	NA	dimensionless	NA
Mendell2013b	high_asp_2	25.0	ED60x5	prothrombin time	NA	plasma	coagulation assay	NA	NA	4.5	NA	NA	NA	NA	2.67	NA	sec	NA
Mendell2013b	high_asp_2	25.0	ED60x5	aPTT	NA	plasma	coagulation assay	NA	NA	12.54	NA	NA	NA	NA	4.1	NA	sec	NA
Mendell2013b	high_asp_2	25.0	ED60x5	inr	NA	plasma	coagulation assay	NA	NA	0.4	NA	NA	NA	NA	0.24	NA	dimensionless	NA
Mendell2013b	high_asp_1	25.0	ASA325	prothrombin time	NA	plasma	coagulation assay	NA	NA	0.5	NA	NA	NA	NA	0.63	NA	sec	NA
Mendell2013b	high_asp_1	25.0	ASA325	aPTT	NA	plasma	coagulation assay	NA	NA	0.6	NA	NA	NA	NA	1.78	NA	sec	NA
Mendell2013b	high_asp_1	25.0	ASA325	inr	NA	plasma	coagulation assay	NA	NA	0.03	NA	NA	NA	NA	0.061	NA	dimensionless	NA
Mendell2013b	naproxen	31.0	ED60, NAP	prothrombin time	NA	plasma	coagulation assay	NA	NA	4.32	NA	NA	NA	NA	1.36	NA	sec	NA
Mendell2013b	naproxen	31.0	ED60, NAP	aPTT	NA	plasma	coagulation assay	NA	NA	15.03	NA	NA	NA	NA	4.27	NA	sec	NA
Mendell2013b	naproxen	31.0	ED60, NAP	inr	NA	plasma	coagulation assay	NA	NA	0.37	NA	NA	NA	NA	0.12	NA	dimensionless	NA
Mendell2013b	naproxen	31.0	ED60	prothrombin time	NA	plasma	coagulation assay	NA	NA	4.43	NA	NA	NA	NA	1.42	NA	sec	NA
Mendell2013b	naproxen	31.0	ED60	aPTT	NA	plasma	coagulation assay	NA	NA	14.94	NA	NA	NA	NA	4.12	NA	sec	NA
Mendell2013b	naproxen	31.0	ED60	inr	NA	plasma	coagulation assay	NA	NA	0.38	NA	NA	NA	NA	0.13	NA	dimensionless	NA
Mendell2013b	naproxen	31.0	NAP	prothrombin time	NA	plasma	coagulation assay	NA	NA	0.53	NA	NA	NA	NA	0.86	NA	sec	NA
Mendell2013b	naproxen	31.0	NAP	aPTT	NA	plasma	coagulation assay	NA	NA	1.52	NA	NA	NA	NA	2.62	NA	sec	NA
Mendell2013b	naproxen	31.0	NAP	inr	NA	plasma	coagulation assay	NA	NA	0.04	NA	NA	NA	NA	0.1	NA	dimensionless	NA
