Study	PMID	Modeling Framework	Model Source	Model Scope	Platform/ Software	PK	PD	Open Access	Open Software	Open Model	Open Code	Open Data	Reproducibility	FAIR	Long-Term Storage	Open License	Resources	Data Source
Byon2017	28547774	PopPK/PD (NLME), E-B, E-T	De Novo (literature-informed)	PK, PD, covariate analysis, clinical events (bleeding, thrombosis)	NONMEM v.7.2	TRUE	Anti-FXa activity	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	Paper, supplementary materials	10 (8 Phase I, 2 Phase II)
Cirincione2018	30259707	PopPK (NLME)	Leil2014 (refined)	PK in healthy and special populations (NVAF, ASC), covariate analysis	NONMEM v.7.1	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	Paper, supplementary materials	12 (8 phase I, 3 phase II (2 ACS, 1 NVAF), 1 phase III (NVAF))
Gaspar2023	37723920	PopPK (NLME)	De Novo	PK, covariate analysis, special populations (KI, poor and ultra-high metabolizers)	MONOLIX	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Paper, supplementary materials	2 (1 for fitting, 1 for validation)
Gaspar2025	40035306	PBPK	Terrier2023 (refined)	PK, individual personalized simulations	Simcyp v.21	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Paper	1
Gibert2022	35191073	PopPK (NLME)	Leil2014 (validated)	PK, Shiny app	R	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Paper, supplementary materials	1
Goto2020	32007354	PopPK/PD (NLME), E-S, E-E, E-B	Ueshima2018	PK and PD, clinical events (stroke, embolization, bleeding)	Phoenix NLME v.8.1	TRUE	Anti-FXa activity	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Paper, supplementary materials	1
Konecki2025	39853633	PopPK/PD (NLME)	De Novo (literature-informed)	PK special population (RI and AF receiving haemodialysis)	Pmetrics, MONOLIX v.2023R1, Simulx v.2023R1	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Paper, supplementary materials	1
Leil2014	25229619	PopPK/PD (NLME), E-B	De Novo	PK, PD, and covariate analysis, clinical events (bleeding)	NONMEM v.6	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Paper, supplementary materials	11 (7 Phase I, 2 Phase II, 2 Phase III)
Luo2024	38747478	PBPK	GastroPlus based	PK, bioequivalence of apixaban formulations under both fasted and fed states	GastroPlus v.9.8.2, Phoenix WinNonlin v.7.0	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Paper, supplementary materials	1
Morath2025	40474043	PopPK/PD (NLME)	De Novo	PK, DDI (Amiodarone) in special population (after cardiac surgery)	NONMEM v.7.5	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Paper, supplementary materials	1
Otsuka2020	33030266	PBPK	Symcyp based	PK, DDI (Clarithromycin, Verapamil, Rifampicin)	Simcyp v.18.2	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Paper, supplementary materials	9
Otsuka2023	37344637	PBPK	Otsuka2020	PK, DDI (Enzalutamide)	Simcyp v.19	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Paper, supplementary materials	
Paixao2025	40143045	PBBM	De Novo (literature-informed)	PK and bioequivalence of different formulations	Berkeley-Madonna v.8.3.18	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Paper	3
Terrier2023	37794718	PBPK	Otsuka2020	PK for healthy and geriatric populations	Simcyp v.21	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Paper, supplementary materials	1
Terrier2025	39535447	PBPK	Otsuka2020	PK and DDI (Dexamethasone, Prednisone) in special population (COVID-19)	Simcyp v.22	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Paper, supplementary materials	
Tsuchitani2025	41332151	PBPK	De Novo (literature-informed)	PK with and without activated charcoal	R	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	Paper, supplementary materials	1
Ueshima2018	29457840	PopPK (NLME)	De Novo	PK in special population (AF), covariate analysis	NONMEM v.7.3.0	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Paper, supplementary materials	1
Ueshima2019	31236790	PopPK/PD (NLME)	De Novo	PK and PD in special population (AF), covariate analysis	NONMEM v.7.3.0	TRUE	Anti-FXa activity	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Paper, supplementary materials	1
Xu2021	33528059	PBPK	Symcyp based	PK in healthy, pediatric, and special populations (RI), DDI (Ketoconazole, Rifampicin)	Simcyp v.14	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Paper	4 (3 healthy, 1 healthy and RI)
Xu2024	38099940	PBPK	PK-Sim based	PK in healthy and special populations (RI, HI)	PK-Sim v.11.1	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Paper, supplementary materials	4 (2 healthy, 1 RI, 1 HI)
Yang2024	39598572	PBPK	GastroPlus based	PK, DDI (Clarithromycin)	GastroPlus v.9.9	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Paper, supplementary materials	3
Yoshioka2018	29760204	PopPK/PD (NLME), E-B, E-S	Leil2014 (refined)	PK and PD, relationships with ischemic stroke and bleeding, dose optimization in atrial fibrillation patients	NONMEM v.7.3.0	TRUE	INR, PT	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Paper, supplementary materials	2
