study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Upreti2013a	all	18.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	0.0	hr		5.077372337660806e-06	2.71775639491095	8.37222645823307e-07	1.9733527007486788e-07		mole/meter^3	ng/ml
Upreti2013a	all	18.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	0.5	hr		0.00011591231472634691	88.2040896114978	7.60443547219617e-05	1.7923826298284798e-05		mole/meter^3	ng/ml
Upreti2013a	all	18.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	1.0	hr		0.00029242626081329054	197.293502118481	0.0001369393585958085	3.227691635814418e-05		mole/meter^3	ng/ml
Upreti2013a	all	18.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	2.0	hr		0.0004675089785764897	259.139630143965	9.645104349960392e-05	2.2733728970362874e-05		mole/meter^3	ng/ml
Upreti2013a	all	18.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	3.0	hr		0.00047364213854586296	283.796816082212	0.0001439787887277214	3.393612595213235e-05		mole/meter^3	ng/ml
Upreti2013a	all	18.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	4.0	hr		0.0004554798838801067	295.069833778126	0.00018667427015281175	4.399954743270091e-05		mole/meter^3	ng/ml
Upreti2013a	all	18.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	6.0	hr		0.0003464186594287704	249.239310619868	0.00019599550949368443	4.6196584615032216e-05		mole/meter^3	ng/ml
Upreti2013a	all	18.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	12.0	hr		0.0001373138943373652	184.891647896164	0.0002650618355781168	6.24756737903467e-05		mole/meter^3	ng/ml
Upreti2013a	all	18.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	24.0	hr		3.8282254237975626e-05	24.709112279856	1.549165714364788e-05	3.6514186060301457e-06		mole/meter^3	ng/ml
Upreti2013a	all	18.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	36.0	hr		1.3320083186872078e-05	8.85866790410082	5.958845875371274e-06	1.404513442173505e-06		mole/meter^3	ng/ml
Upreti2013a	all	18.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	48.0	hr		8.01220809053421e-06	5.5508680300598	4.068027012969163e-06	9.588431623068503e-07		mole/meter^3	ng/ml
Upreti2013a	all	18.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	60.0	hr		4.819450268095255e-06	3.01524987597503	1.7425734010560613e-06	4.1072848953401547e-07		mole/meter^3	ng/ml
