study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	ci	mean_sd	mean_se	comments	mean_unit	value_unit
Rohr2024		all	8.0	API25, RIV25, EDO50, RITx5	concentration	apixaban	plasma	LC MS/MS	apixaban_API25, RIV25, EDO50, RITx5	0.0	hr		0.0						mole/meter^3	pg/ml
Rohr2024		all	8.0	API25, RIV25, EDO50, RITx5	concentration	apixaban	plasma	LC MS/MS	apixaban_API25, RIV25, EDO50, RITx5	0.5	hr		1.464570184983678e-06	997.3	324.33	1.018569173867926e-06			mole/meter^3	pg/ml
Rohr2024		all	8.0	API25, RIV25, EDO50, RITx5	concentration	apixaban	plasma	LC MS/MS	apixaban_API25, RIV25, EDO50, RITx5	1.0	hr		1.799847660500544e-06	981.08	154.05	4.837991589873101e-07			mole/meter^3	pg/ml
Rohr2024		all	8.0	API25, RIV25, EDO50, RITx5	concentration	apixaban	plasma	LC MS/MS	apixaban_API25, RIV25, EDO50, RITx5	1.5	hr		1.7468988030467903e-06	997.3	194.6	6.111477853874081e-07			mole/meter^3	pg/ml
Rohr2024		all	8.0	API25, RIV25, EDO50, RITx5	concentration	apixaban	plasma	LC MS/MS	apixaban_API25, RIV25, EDO50, RITx5	2.0	hr		1.7468988030467903e-06	956.76	154.06	4.838305643205767e-07			mole/meter^3	pg/ml
Rohr2024		all	8.0	API25, RIV25, EDO50, RITx5	concentration	apixaban	plasma	LC MS/MS	apixaban_API25, RIV25, EDO50, RITx5	2.5	hr		1.7468988030467903e-06	981.08	178.38	5.602083348273689e-07			mole/meter^3	pg/ml
Rohr2024		all	8.0	API25, RIV25, EDO50, RITx5	concentration	apixaban	plasma	LC MS/MS	apixaban_API25, RIV25, EDO50, RITx5	3.0	hr		1.6233949945593037e-06	891.89	145.94	4.5832943370728835e-07			mole/meter^3	pg/ml
Rohr2024		all	8.0	API25, RIV25, EDO50, RITx5	concentration	apixaban	plasma	LC MS/MS	apixaban_API25, RIV25, EDO50, RITx5	4.0	hr		1.535168661588683e-06	818.92	113.51	3.564819379204766e-07			mole/meter^3	pg/ml
Rohr2024		all	8.0	API25, RIV25, EDO50, RITx5	concentration	apixaban	plasma	LC MS/MS	apixaban_API25, RIV25, EDO50, RITx5	6.0	hr		1.0410881392818281e-06	575.68	97.3	3.0557389269370403e-07			mole/meter^3	pg/ml
Rohr2024		all	8.0	API25, RIV25, EDO50, RITx5	concentration	apixaban	plasma	LC MS/MS	apixaban_API25, RIV25, EDO50, RITx5	8.0	hr		7.234602829162133e-07	397.3	64.87	2.0372639690689228e-07			mole/meter^3	pg/ml
Rohr2024		all	8.0	API25, RIV25, EDO50, RITx5	concentration	apixaban	plasma	LC MS/MS	apixaban_API25, RIV25, EDO50, RITx5	23.0	hr		1.7645266594124048e-07	113.51	32.43	1.0184749578681239e-07			mole/meter^3	pg/ml
Rohr2024		all	8.0	API25, RIV25, EDO50, RITx5	concentration	apixaban	plasma	LC MS/MS	apixaban_API25, RIV25, EDO50, RITx5	24.0	hr		1.5880304678998912e-07	105.41	32.44	1.0187890112007987e-07			mole/meter^3	pg/ml
