study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Cui2013	API10	12.0	API10	Anti-factor Xa activity		plasma	coagulation assay	antiXa_activity_API10	0.0	hr		0.0				single	IU/ml	IU/ml
Cui2013	API10	12.0	API10	Anti-factor Xa activity		plasma	coagulation assay	antiXa_activity_API10	0.5	hr		0.857188571428571	1.63	0.7728114285714289	0.2230914431592668	single	IU/ml	IU/ml
Cui2013	API10	12.0	API10	Anti-factor Xa activity		plasma	coagulation assay	antiXa_activity_API10	1.0	hr		1.94306285714285	2.74	0.7969371428571501	0.2300559369778934	single	IU/ml	IU/ml
Cui2013	API10	12.0	API10	Anti-factor Xa activity		plasma	coagulation assay	antiXa_activity_API10	2.0	hr		3.25753142857142	4.16	0.9024685714285804	0.2605202363247339	single	IU/ml	IU/ml
Cui2013	API10	12.0	API10	Anti-factor Xa activity		plasma	coagulation assay	antiXa_activity_API10	3.0	hr		3.65766857142857	4.61	0.9523314285714304	0.2749144033217281	single	IU/ml	IU/ml
Cui2013	API10	12.0	API10	Anti-factor Xa activity		plasma	coagulation assay	antiXa_activity_API10	4.0	hr		3.35787428571428	4.29	0.93212571428572	0.2690815160307163	single	IU/ml	IU/ml
Cui2013	API10	12.0	API10	Anti-factor Xa activity		plasma	coagulation assay	antiXa_activity_API10	6.0	hr		2.444	3.06	0.6160000000000001	0.1778238829104047	single	IU/ml	IU/ml
Cui2013	API10	12.0	API10	Anti-factor Xa activity		plasma	coagulation assay	antiXa_activity_API10	9.0	hr		1.47309714285714	1.99	0.51690285714286	0.1492170018581584	single	IU/ml	IU/ml
Cui2013	API10	12.0	API10	Anti-factor Xa activity		plasma	coagulation assay	antiXa_activity_API10	12.0	hr		0.959451428571429	1.29	0.3305485714285711	0.0954211533472658	single	IU/ml	IU/ml
Cui2013	API10	12.0	API10	Anti-factor Xa activity		plasma	coagulation assay	antiXa_activity_API10	24.0	hr		0.40358857142857	0.62	0.2164114285714299	0.0624725982707132	single	IU/ml	IU/ml
Cui2013	API10	12.0	API10	Anti-factor Xa activity		plasma	coagulation assay	antiXa_activity_API10	36.0	hr		0.304685714285714	0.42	0.1153142857142859	0.0332883669492762	single	IU/ml	IU/ml
Cui2013	API10	12.0	API10	Anti-factor Xa activity		plasma	coagulation assay	antiXa_activity_API10	48.0	hr		0.0499428571428577	0.19	0.1400571428571423	0.0404310145652504	single	IU/ml	IU/ml
Cui2013	API10	12.0	API10	Anti-factor Xa activity		plasma	coagulation assay	antiXa_activity_API10	60.0	hr		0.0380114285714299	0.17	0.1319885714285701	0.0381018186221195	single	IU/ml	IU/ml
Cui2013	API10	12.0	API10	Anti-factor Xa activity		plasma	coagulation assay	antiXa_activity_API10	72.0	hr		0.0261485714285729	0.15	0.1238514285714271	0.0357528278126165	single	IU/ml	IU/ml
