study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Frost2015a		group1	18.0	API10_D7, KET400	concentration	apixaban	plasma	HPLC MS	apixaban_API10_D7, KET400	1.0	hr		0.00019006093579978237	33.622	0.00011689009793253537			mole/meter^3	ng/ml
Frost2015a		group1	18.0	API10_D7, KET400	concentration	apixaban	plasma	HPLC MS	apixaban_API10_D7, KET400	2.0	hr		0.00034419804134929274	76.148	0.00017847878128400435			mole/meter^3	ng/ml
Frost2015a		group1	18.0	API10_D7, KET400	concentration	apixaban	plasma	HPLC MS	apixaban_API10_D7, KET400	3.0	hr		0.0004560174102285092	116.963	0.00020147334058759524			mole/meter^3	ng/ml
Frost2015a		group1	18.0	API10_D7, KET400	concentration	apixaban	plasma	HPLC MS	apixaban_API10_D7, KET400	4.0	hr		0.0005167486398258977	152.557	0.00018474211099020675			mole/meter^3	ng/ml
Frost2015a		group1	18.0	API10_D7, KET400	concentration	apixaban	plasma	HPLC MS	apixaban_API10_D7, KET400	6.0	hr		0.00041519912948857453	116.963	0.0001606550598476605			mole/meter^3	ng/ml
Frost2015a		group1	18.0	API10_D7, KET400	concentration	apixaban	plasma	HPLC MS	apixaban_API10_D7, KET400	8.0	hr		0.00033360609357997826	95.343	0.00012611316648531012			mole/meter^3	ng/ml
Frost2015a		group1	18.0	API10_D7, KET400	concentration	apixaban	plasma	HPLC MS	apixaban_API10_D7, KET400	12.0	hr		0.00020874428726877042	52.71	9.403264417845485e-05			mole/meter^3	ng/ml
Frost2015a		group1	18.0	API10_D7, KET400	concentration	apixaban	plasma	HPLC MS	apixaban_API10_D7, KET400	24.0	hr		8.432426550598477e-05	18.972	4.303590859630033e-05			mole/meter^3	ng/ml
Frost2015a		group1	18.0	API10_D7, KET400	concentration	apixaban	plasma	HPLC MS	apixaban_API10_D7, KET400	36.0	hr		3.860065288356909e-05	8.726	1.961044613710555e-05			mole/meter^3	ng/ml
Frost2015a		group1	18.0	API10_D7, KET400	concentration	apixaban	plasma	HPLC MS	apixaban_API10_D7, KET400	48.0	hr		2.2689880304679e-05	6.422	8.713819368879216e-06			mole/meter^3	ng/ml
Frost2015a		group1	18.0	API10_D7, KET400	concentration	apixaban	plasma	HPLC MS	apixaban_API10_D7, KET400	60.0	hr		1.176931447225245e-05	2.613	6.082698585418934e-06			mole/meter^3	ng/ml
Frost2015a		group1	18.0	API10_D7, KET400	concentration	apixaban	plasma	HPLC MS	apixaban_API10_D7, KET400	72.0	hr		9.16430903155604e-06	1.474	5.9564744287268776e-06			mole/meter^3	ng/ml
