study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Song2015		study_2	21.0	API5_NGT_IF	concentration	apixaban	plasma	LC MS/MS	apixaban_API5_NGT_IF	0.0	hr		0.0					mole/meter^3	ng/ml
Song2015		study_2	21.0	API5_NGT_IF	concentration	apixaban	plasma	LC MS/MS	apixaban_API5_NGT_IF	0.25	hr		1.5370997470039392e-06	2.58865027492477	4.096524355117432e-06	8.939349020740853e-07		mole/meter^3	ng/ml
Song2015		study_2	21.0	API5_NGT_IF	concentration	apixaban	plasma	LC MS/MS	apixaban_API5_NGT_IF	0.5	hr		0.00010523271029324615	71.1392405063289	4.9586093855456585e-05	1.0820572786181642e-05		mole/meter^3	ng/ml
Song2015		study_2	21.0	API5_NGT_IF	concentration	apixaban	plasma	LC MS/MS	apixaban_API5_NGT_IF	1.0	hr		0.00020233881076018218	94.8734177215188	4.132174487954524e-06	9.017143988484286e-07		mole/meter^3	ng/ml
Song2015		study_2	21.0	API5_NGT_IF	concentration	apixaban	plasma	LC MS/MS	apixaban_API5_NGT_IF	2.0	hr		0.00023539620666381938	117.658227848101	2.0660872439773676e-05	4.508571994242372e-06		mole/meter^3	ng/ml
Song2015		study_2	21.0	API5_NGT_IF	concentration	apixaban	plasma	LC MS/MS	apixaban_API5_NGT_IF	3.0	hr		0.00022299968319995428	113.86075949367	2.4793046927727984e-05	5.410286393090754e-06		mole/meter^3	ng/ml
Song2015		study_2	21.0	API5_NGT_IF	concentration	apixaban	plasma	LC MS/MS	apixaban_API5_NGT_IF	4.0	hr		0.0002168014214680235	107.215189873417	1.6528697951817633e-05	3.606857595393613e-06		mole/meter^3	ng/ml
Song2015		study_2	21.0	API5_NGT_IF	concentration	apixaban	plasma	LC MS/MS	apixaban_API5_NGT_IF	5.0	hr		0.00019614054902824962	98.6708860759491	1.8594785195796307e-05	4.057714794818135e-06		mole/meter^3	ng/ml
Song2015		study_2	21.0	API5_NGT_IF	concentration	apixaban	plasma	LC MS/MS	apixaban_API5_NGT_IF	6.0	hr		0.0001816779383204085	92.025316455696	1.8594785195796086e-05	4.057714794818087e-06		mole/meter^3	ng/ml
Song2015		study_2	21.0	API5_NGT_IF	concentration	apixaban	plasma	LC MS/MS	apixaban_API5_NGT_IF	9.0	hr		0.0001403561934408614	75.8860759493669	2.4793046927728164e-05	5.410286393090794e-06		mole/meter^3	ng/ml
Song2015		study_2	21.0	API5_NGT_IF	concentration	apixaban	plasma	LC MS/MS	apixaban_API5_NGT_IF	12.0	hr		0.00010110053580529162	58.7974683544302	2.6859134171705557e-05	5.861143592515034e-06		mole/meter^3	ng/ml
Song2015		study_2	21.0	API5_NGT_IF	concentration	apixaban	plasma	LC MS/MS	apixaban_API5_NGT_IF	24.0	hr		2.1593000235599807e-05	11.2161012553169	2.8163604941431785e-06	6.145802451759215e-07		mole/meter^3	ng/ml
Song2015		study_2	21.0	API5_NGT_IF	concentration	apixaban	plasma	LC MS/MS	apixaban_API5_NGT_IF	36.0	hr		1.267475111593826e-05	7.47089947089946	3.584007253810294e-06	7.82094501516975e-07		mole/meter^3	ng/ml
Song2015		study_2	21.0	API5_NGT_IF	concentration	apixaban	plasma	LC MS/MS	apixaban_API5_NGT_IF	48.0	hr		1.0156869744230228e-05	6.31372549019607	3.5835556968928846e-06	7.819959637191366e-07		mole/meter^3	ng/ml
Song2015		study_2	21.0	API5_NGT_IF	concentration	apixaban	plasma	LC MS/MS	apixaban_API5_NGT_IF	60.0	hr		6.870438499020283e-06	4.56893868658573	3.072844823255516e-06	6.705497143534097e-07		mole/meter^3	ng/ml
Song2015		study_2	21.0	API5_NGT_IF	concentration	apixaban	plasma	LC MS/MS	apixaban_API5_NGT_IF	72.0	hr		6.6568520770658546e-06	4.35294117647059	2.8163604941432637e-06	6.1458024517594e-07		mole/meter^3	ng/ml
