study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments
Wang2016	NA	healthy	8.0	API5	concentration	apixaban	plasma	LC MS/MS	apixaban_healthy	0.0	hr	NA	0.0	NA	NA	NA	ng/ml	NA
Wang2016	NA	healthy	8.0	API5	concentration	apixaban	plasma	LC MS/MS	apixaban_healthy	0.5	hr	NA	15.907780979827	37.5792507204611	21.6714697406341	7.66202160594072	ng/ml	NA
Wang2016	NA	healthy	8.0	API5	concentration	apixaban	plasma	LC MS/MS	apixaban_healthy	1.0	hr	NA	56.0230547550432	107.896253602305	51.8731988472618	18.3399453333685	ng/ml	NA
Wang2016	NA	healthy	8.0	API5	concentration	apixaban	plasma	LC MS/MS	apixaban_healthy	1.5	hr	NA	96.8299711815562	119.423631123919	22.5936599423628	7.98806507853379	ng/ml	NA
Wang2016	NA	healthy	8.0	API5	concentration	apixaban	plasma	LC MS/MS	apixaban_healthy	2.0	hr	NA	114.351585014409	158.386167146974	44.034582132565	15.5685758163263	ng/ml	NA
Wang2016	NA	healthy	8.0	API5	concentration	apixaban	plasma	LC MS/MS	apixaban_healthy	2.5	hr	NA	104.438040345821	134.409221902017	29.971181556196	10.5964128592797	ng/ml	NA
Wang2016	NA	healthy	8.0	API5	concentration	apixaban	plasma	LC MS/MS	apixaban_healthy	3.0	hr	NA	99.5965417867435	127.953890489913	28.3573487031695	10.0258367822413	ng/ml	NA
Wang2016	NA	healthy	8.0	API5	concentration	apixaban	plasma	LC MS/MS	apixaban_healthy	4.0	hr	NA	94.0634005763688	121.729106628242	27.6657060518732	9.78130417779662	ng/ml	NA
Wang2016	NA	healthy	8.0	API5	concentration	apixaban	plasma	LC MS/MS	apixaban_healthy	6.0	hr	NA	72.6224783861671	94.0634005763688	21.4409221902017	7.58051073779237	ng/ml	NA
Wang2016	NA	healthy	8.0	API5	concentration	apixaban	plasma	LC MS/MS	apixaban_healthy	8.0	hr	NA	54.4092219020172	70.5475504322766	16.1383285302594	5.70576077038137	ng/ml	NA
Wang2016	NA	healthy	8.0	API5	concentration	apixaban	plasma	LC MS/MS	apixaban_healthy	10.0	hr	NA	42.1902017291066	53.7175792507204	11.5273775216138	4.07554340741525	ng/ml	NA
Wang2016	NA	healthy	8.0	API5	concentration	apixaban	plasma	LC MS/MS	apixaban_healthy	12.0	hr	NA	34.8126801152737	46.3400576368876	11.5273775216139	4.07554340741528	ng/ml	NA
Wang2016	NA	healthy	8.0	API5	concentration	apixaban	plasma	LC MS/MS	apixaban_healthy	18.0	hr	NA	21.671469740634	28.8184438040345	7.1469740634005	2.52683691259743	ng/ml	NA
Wang2016	NA	healthy	8.0	API5	concentration	apixaban	plasma	LC MS/MS	apixaban_healthy	24.0	hr	NA	13.8328530259366	18.4438040345821	4.6109510086455	1.63021736296609	ng/ml	NA
Wang2016	NA	healthy	8.0	API5	concentration	apixaban	plasma	LC MS/MS	apixaban_healthy	36.0	hr	NA	6.22478386167148	8.53025936599422	2.30547550432274	0.815108681483043	ng/ml	NA
Wang2016	NA	healthy	8.0	API5	concentration	apixaban	plasma	LC MS/MS	apixaban_healthy	48.0	hr	NA	4.14985590778098	9.45244956772336	5.30259365994238	1.87474996741103	ng/ml	NA
Wang2016	NA	healthy	8.0	API5	concentration	apixaban	plasma	LC MS/MS	apixaban_healthy	60.0	hr	NA	2.9971181556196	8.06916426512967	5.07204610951007	1.79323909926271	ng/ml	NA
Wang2016	NA	healthy	8.0	API5	concentration	apixaban	plasma	LC MS/MS	apixaban_healthy	72.0	hr	NA	2.53602305475504	6.68587896253603	4.14985590778099	1.4671956266695	ng/ml	NA
Wang2016	NA	esrd	8.0	API5, DIALYSIS_POST	concentration	apixaban	plasma	LC MS/MS	apixaban_esrd_P1	0.0	hr	NA	0.0	NA	NA	NA	ng/ml	period 1
Wang2016	NA	esrd	8.0	API5, DIALYSIS_POST	concentration	apixaban	plasma	LC MS/MS	apixaban_esrd_P1	0.5	hr	NA	29.9711815561959	66.6282420749279	36.657060518732	12.9602280355805	ng/ml	period 1
Wang2016	NA	esrd	8.0	API5, DIALYSIS_POST	concentration	apixaban	plasma	LC MS/MS	apixaban_esrd_P1	1.0	hr	NA	61.5561959654178	109.510086455331	47.9538904899132	16.9542605748474	ng/ml	period 1
Wang2016	NA	esrd	8.0	API5, DIALYSIS_POST	concentration	apixaban	plasma	LC MS/MS	apixaban_esrd_P1	1.5	hr	NA	68.4726224783861	145.244956772334	76.7723342939479	27.1431190933855	ng/ml	period 1
Wang2016	NA	esrd	8.0	API5, DIALYSIS_POST	concentration	apixaban	plasma	LC MS/MS	apixaban_esrd_P1	2.0	hr	NA	86.9164265129683	123.112391930835	36.1959654178667	12.7972062992837	ng/ml	period 1
Wang2016	NA	esrd	8.0	API5, DIALYSIS_POST	concentration	apixaban	plasma	LC MS/MS	apixaban_esrd_P1	2.5	hr	NA	86.4553314121037	114.351585014409	27.8962536023053	9.86281504594486	ng/ml	period 1
Wang2016	NA	esrd	8.0	API5, DIALYSIS_POST	concentration	apixaban	plasma	LC MS/MS	apixaban_esrd_P1	3.0	hr	NA	83.9193083573487	110.201729106628	26.2824207492793	9.29223896890671	ng/ml	period 1
Wang2016	NA	esrd	8.0	API5, DIALYSIS_POST	concentration	apixaban	plasma	LC MS/MS	apixaban_esrd_P1	4.0	hr	NA	77.6945244956772	102.36311239193	24.6685878962528	8.72166289186837	ng/ml	period 1
Wang2016	NA	esrd	8.0	API5, DIALYSIS_POST	concentration	apixaban	plasma	LC MS/MS	apixaban_esrd_P1	6.0	hr	NA	72.3919308357348	93.6023054755043	21.2103746397695	7.49899986964409	ng/ml	period 1
Wang2016	NA	esrd	8.0	API5, DIALYSIS_POST	concentration	apixaban	plasma	LC MS/MS	apixaban_esrd_P1	8.0	hr	NA	62.0172910662824	80.4610951008645	18.4438040345821	6.5208694518644	ng/ml	period 1
Wang2016	NA	esrd	8.0	API5, DIALYSIS_POST	concentration	apixaban	plasma	LC MS/MS	apixaban_esrd_P1	10.0	hr	NA	50.4899135446685	66.3976945244956	15.9077809798271	5.62424990223307	ng/ml	period 1
Wang2016	NA	esrd	8.0	API5, DIALYSIS_POST	concentration	apixaban	plasma	LC MS/MS	apixaban_esrd_P1	12.0	hr	NA	44.0345821325648	62.4783861671469	18.4438040345821	6.5208694518644	ng/ml	period 1
Wang2016	NA	esrd	8.0	API5, DIALYSIS_POST	concentration	apixaban	plasma	LC MS/MS	apixaban_esrd_P1	18.0	hr	NA	27.6657060518732	40.8069164265129	13.1412103746397	4.64611948445337	ng/ml	period 1
Wang2016	NA	esrd	8.0	API5, DIALYSIS_POST	concentration	apixaban	plasma	LC MS/MS	apixaban_esrd_P1	24.0	hr	NA	22.8242074927954	33.6599423631123	10.8357348703169	3.83101080297031	ng/ml	period 1
Wang2016	NA	esrd	8.0	API5, DIALYSIS_POST	concentration	apixaban	plasma	LC MS/MS	apixaban_esrd_P1	36.0	hr	NA	10.1440922190201	16.8299711815562	6.6858789625361	2.36381517630088	ng/ml	period 1
Wang2016	NA	esrd	8.0	API5, DIALYSIS_POST	concentration	apixaban	plasma	LC MS/MS	apixaban_esrd_P1	48.0	hr	NA	6.68587896253603	8.9913544668588	2.30547550432277	0.815108681483053	ng/ml	period 1
Wang2016	NA	esrd	8.0	API5, DIALYSIS_POST	concentration	apixaban	plasma	LC MS/MS	apixaban_esrd_P1	60.0	hr	NA	3.45821325648415	7.83861671469742	4.38040345821327	1.5487064948178	ng/ml	period 1
Wang2016	NA	esrd	8.0	API5, DIALYSIS_POST	concentration	apixaban	plasma	LC MS/MS	apixaban_esrd_P1	72.0	hr	NA	2.53602305475504	6.68587896253603	4.14985590778099	1.4671956266695	ng/ml	period 1
Wang2016	NA	esrd	8.0	API5, DIALYSIS_PRE	concentration	apixaban	plasma	LC MS/MS	apixaban_esrd_P2	0.0	hr	NA	0.0	NA	NA	NA	ng/ml	period 2
Wang2016	NA	esrd	8.0	API5, DIALYSIS_PRE	concentration	apixaban	plasma	LC MS/MS	apixaban_esrd_P2	0.5	hr	NA	46.8011527377521	71.700288184438	24.8991354466859	8.80317376001697	ng/ml	period 2
Wang2016	NA	esrd	8.0	API5, DIALYSIS_PRE	concentration	apixaban	plasma	LC MS/MS	apixaban_esrd_P2	1.0	hr	NA	66.8587896253602	117.118155619596	50.2593659942358	17.7693692563303	ng/ml	period 2
Wang2016	NA	esrd	8.0	API5, DIALYSIS_PRE	concentration	apixaban	plasma	LC MS/MS	apixaban_esrd_P2	1.5	hr	NA	93.371757925072	148.011527377521	54.639769452449	19.3180757511481	ng/ml	period 2
Wang2016	NA	esrd	8.0	API5, DIALYSIS_PRE	concentration	apixaban	plasma	LC MS/MS	apixaban_esrd_P2	2.0	hr	NA	108.587896253602	158.386167146974	49.798270893372	17.606347520034	ng/ml	period 2
Wang2016	NA	esrd	8.0	API5, DIALYSIS_PRE	concentration	apixaban	plasma	LC MS/MS	apixaban_esrd_P2	2.5	hr	NA	103.515850144092	139.250720461095	35.734870317003	12.6341845629873	ng/ml	period 2
Wang2016	NA	esrd	8.0	API5, DIALYSIS_PRE	concentration	apixaban	plasma	LC MS/MS	apixaban_esrd_P2	3.0	hr	NA	99.5965417867435	130.7204610951	31.1239193083565	11.0039672000209	ng/ml	period 2
Wang2016	NA	esrd	8.0	API5, DIALYSIS_PRE	concentration	apixaban	plasma	LC MS/MS	apixaban_esrd_P2	4.0	hr	NA	97.0605187319884	123.5734870317	26.5129682997116	9.37374983705502	ng/ml	period 2
Wang2016	NA	esrd	8.0	API5, DIALYSIS_PRE	concentration	apixaban	plasma	LC MS/MS	apixaban_esrd_P2	6.0	hr	NA	88.5302593659942	106.512968299711	17.9827089337168	6.35784771556753	ng/ml	period 2
Wang2016	NA	esrd	8.0	API5, DIALYSIS_PRE	concentration	apixaban	plasma	LC MS/MS	apixaban_esrd_P2	8.0	hr	NA	72.8530259365994	89.4524495677233	16.5994236311239	5.86878250667797	ng/ml	period 2
Wang2016	NA	esrd	8.0	API5, DIALYSIS_PRE	concentration	apixaban	plasma	LC MS/MS	apixaban_esrd_P2	10.0	hr	NA	58.0979827089337	73.0835734870317	14.985590778098	5.29820642963984	ng/ml	period 2
Wang2016	NA	esrd	8.0	API5, DIALYSIS_PRE	concentration	apixaban	plasma	LC MS/MS	apixaban_esrd_P2	12.0	hr	NA	50.4899135446685	64.3227665706051	13.8328530259366	4.89065208889831	ng/ml	period 2
Wang2016	NA	esrd	8.0	API5, DIALYSIS_PRE	concentration	apixaban	plasma	LC MS/MS	apixaban_esrd_P2	18.0	hr	NA	34.1210374639769	44.4956772334293	10.3746397694524	3.66798906667372	ng/ml	period 2
Wang2016	NA	esrd	8.0	API5, DIALYSIS_PRE	concentration	apixaban	plasma	LC MS/MS	apixaban_esrd_P2	24.0	hr	NA	25.5907780979827	34.8126801152737	9.221902017291	3.26043472593218	ng/ml	period 2
Wang2016	NA	esrd	8.0	API5, DIALYSIS_PRE	concentration	apixaban	plasma	LC MS/MS	apixaban_esrd_P2	36.0	hr	NA	11.2968299711815	18.2132564841498	6.9164265129683	2.44532604444916	ng/ml	period 2
Wang2016	NA	esrd	8.0	API5, DIALYSIS_PRE	concentration	apixaban	plasma	LC MS/MS	apixaban_esrd_P2	48.0	hr	NA	5.99423631123917	13.8328530259366	7.83861671469743	2.77136951704238	ng/ml	period 2
Wang2016	NA	esrd	8.0	API5, DIALYSIS_PRE	concentration	apixaban	plasma	LC MS/MS	apixaban_esrd_P2	60.0	hr	NA	3.45821325648415	7.83861671469742	4.38040345821327	1.5487064948178	ng/ml	period 2
Wang2016	NA	esrd	8.0	API5, DIALYSIS_PRE	concentration	apixaban	plasma	LC MS/MS	apixaban_esrd_P2	72.0	hr	NA	2.9971181556196	6.68587896253603	3.68876080691643	1.30417389037288	ng/ml	period 2
