study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Frost2013a		API25	6.0	API25	concentration	apixaban	plasma	LC MS/MS	apixaban_API25	0.0	hr		0.0	0.0				mole/meter^3	ng/ml
Frost2013a		API25	6.0	API25	concentration	apixaban	plasma	LC MS/MS	apixaban_API25	1.0	hr		0.00037941240478781284	259.51	0.0001853536452665941			mole/meter^3	ng/ml
Frost2013a		API25	6.0	API25	concentration	apixaban	plasma	LC MS/MS	apixaban_API25	2.0	hr		0.0005089662676822634	311.64	0.00016924918389553859			mole/meter^3	ng/ml
Frost2013a		API25	6.0	API25	concentration	apixaban	plasma	LC MS/MS	apixaban_API25	3.0	hr		0.0006145810663764961	297.16	3.2121871599564854e-05			mole/meter^3	ng/ml
Frost2013a		API25	6.0	API25	concentration	apixaban	plasma	LC MS/MS	apixaban_API25	4.0	hr		0.0006795429815016321	353.04	8.877040261153433e-05			mole/meter^3	ng/ml
Frost2013a		API25	6.0	API25	concentration	apixaban	plasma	LC MS/MS	apixaban_API25	6.0	hr		0.0004633949945593036	257.37	9.671381936887922e-05			mole/meter^3	ng/ml
Frost2013a		API25	6.0	API25	concentration	apixaban	plasma	LC MS/MS	apixaban_API25	9.0	hr		0.00029621327529923835	143.51	1.610446137105545e-05			mole/meter^3	ng/ml
Frost2013a		API25	6.0	API25	concentration	apixaban	plasma	LC MS/MS	apixaban_API25	12.0	hr		0.00020948857453754083	111.07	3.223068552774753e-05			mole/meter^3	ng/ml
Frost2013a		API25	6.0	API25	concentration	apixaban	plasma	LC MS/MS	apixaban_API25	24.0	hr		0.0001050272034820457	59.37	2.4178454842219804e-05			mole/meter^3	ng/ml
Frost2013a		API25	6.0	API25	concentration	apixaban	plasma	LC MS/MS	apixaban_API25	144.0	hr		0.00019360174102285091	107.54	4.043525571273126e-05			mole/meter^3	ng/ml
Frost2013a		API25	6.0	API25	concentration	apixaban	plasma	LC MS/MS	apixaban_API25	145.0	hr		0.00046041349292709466	278.23	0.00014509249183895543			mole/meter^3	ng/ml
Frost2013a		API25	6.0	API25	concentration	apixaban	plasma	LC MS/MS	apixaban_API25	146.0	hr		0.0007754733405875952	437.8	0.00017730141458106643			mole/meter^3	ng/ml
Frost2013a		API25	6.0	API25	concentration	apixaban	plasma	LC MS/MS	apixaban_API25	147.0	hr		0.0009211534276387378	512.15	0.00019342763873775843			mole/meter^3	ng/ml
Frost2013a		API25	6.0	API25	concentration	apixaban	plasma	LC MS/MS	apixaban_API25	148.0	hr		0.0009460500544069641	534.7	0.00021760609357997842			mole/meter^3	ng/ml
Frost2013a		API25	6.0	API25	concentration	apixaban	plasma	LC MS/MS	apixaban_API25	150.0	hr		0.0007217192600652884	383.48	0.00011284004352557133			mole/meter^3	ng/ml
Frost2013a		API25	6.0	API25	concentration	apixaban	plasma	LC MS/MS	apixaban_API25	153.0	hr		0.0004900544069640914	265.92	8.866158868335149e-05			mole/meter^3	ng/ml
Frost2013a		API25	6.0	API25	concentration	apixaban	plasma	LC MS/MS	apixaban_API25	156.0	hr		0.0003389771490750816	189.04	7.24265505984766e-05			mole/meter^3	ng/ml
Frost2013a		API25	6.0	API25	concentration	apixaban	plasma	LC MS/MS	apixaban_API25	168.0	hr		0.0001779760609357998	96.65	3.2361262241566926e-05			mole/meter^3	ng/ml
