study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Frost2021		group_po	3.0	PO5	Anti-factor Xa activity		plasma	coagulation assay	PO5_Anti-factor Xa activity_IU	0.0	hr		0.0					IU/ml	IU/ml
Frost2021		group_po	3.0	PO5	Anti-factor Xa activity		plasma	coagulation assay	PO5_Anti-factor Xa activity_IU	0.5	hr		0.417391304347825	1.2	0.782608695652175	0.451839341104925		IU/ml	IU/ml
Frost2021		group_po	3.0	PO5	Anti-factor Xa activity		plasma	coagulation assay	PO5_Anti-factor Xa activity_IU	1.0	hr		0.782608695652175	1.40869565217391	0.626086956521735	0.361471472883937		IU/ml	IU/ml
Frost2021		group_po	3.0	PO5	Anti-factor Xa activity		plasma	coagulation assay	PO5_Anti-factor Xa activity_IU	2.0	hr		1.04347826086956	0.678260869565217	0.365217391304343	0.210858359182295		IU/ml	IU/ml
Frost2021		group_po	3.0	PO5	Anti-factor Xa activity		plasma	coagulation assay	PO5_Anti-factor Xa activity_IU	3.0	hr		1.56521739130434	1.25217391304347	0.31304347826087	0.18073573644197		IU/ml	IU/ml
Frost2021		group_po	3.0	PO5	Anti-factor Xa activity		plasma	coagulation assay	PO5_Anti-factor Xa activity_IU	4.0	hr		1.40869565217391	1.87826086956521	0.4695652173913	0.271103604662952		IU/ml	IU/ml
Frost2021		group_po	3.0	PO5	Anti-factor Xa activity		plasma	coagulation assay	PO5_Anti-factor Xa activity_IU	6.0	hr		0.886956521739131	0.991304347826087	0.104347826086956	0.0602452454806563		IU/ml	IU/ml
Frost2021		group_po	3.0	PO5	Anti-factor Xa activity		plasma	coagulation assay	PO5_Anti-factor Xa activity_IU	8.0	hr		0.730434782608696	0.886956521739131	0.156521739130435	0.090367868220985		IU/ml	IU/ml
Frost2021		group_po	3.0	PO5	Anti-factor Xa activity		plasma	coagulation assay	PO5_Anti-factor Xa activity_IU	12.0	hr		0.365217391304348	0.521739130434784	0.156521739130436	0.0903678682209856		IU/ml	IU/ml
Frost2021		group_po	3.0	PO5	Anti-factor Xa activity		plasma	coagulation assay	PO5_Anti-factor Xa activity_IU	18.0	hr		0.26086956521739	0.417391304347825	0.156521739130435	0.090367868220985		IU/ml	IU/ml
