study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Frost2015		young	40.0	API_20	inr		plasma	coagulation assay	inr_young_API_20	1.0	hr		1.11757575757575	1.09575757575757	0.02181818181818	0.0034497574474561		dimensionless	dimensionless
Frost2015		young	40.0	API_20	inr		plasma	coagulation assay	inr_young_API_20	1.5	hr		1.26060606060606	1.1490909090909	0.11151515151516	0.0176320936203341		dimensionless	dimensionless
Frost2015		young	40.0	API_20	inr		plasma	coagulation assay	inr_young_API_20	2.0	hr		1.33090909090909	1.2290909090909	0.10181818181819	0.0160988680881312		dimensionless	dimensionless
Frost2015		young	40.0	API_20	inr		plasma	coagulation assay	inr_young_API_20	3.0	hr		1.44727272727272	1.33333333333333	0.11393939393939	0.0180154000033829		dimensionless	dimensionless
Frost2015		young	40.0	API_20	inr		plasma	coagulation assay	inr_young_API_20	4.0	hr		1.44727272727272	1.27030303030303	0.17696969696969	0.0279813659627009		dimensionless	dimensionless
Frost2015		young	40.0	API_20	inr		plasma	coagulation assay	inr_young_API_20	6.0	hr		1.35030303030303	1.20727272727272	0.14303030303031	0.0226150765999931		dimensionless	dimensionless
Frost2015		young	40.0	API_20	inr		plasma	coagulation assay	inr_young_API_20	8.0	hr		1.23878787878787	1.10060606060606	0.13818181818181	0.0218484638338893		dimensionless	dimensionless
Frost2015		young	40.0	API_20	inr		plasma	coagulation assay	inr_young_API_20	10.0	hr		1.19272727272727	1.05696969696969	0.13575757575758	0.0214651574508406		dimensionless	dimensionless
Frost2015		young	40.0	API_20	inr		plasma	coagulation assay	inr_young_API_20	12.0	hr		1.17575757575757	1.06666666666666	0.10909090909091	0.0172487872372822		dimensionless	dimensionless
Frost2015		young	40.0	API_20	inr		plasma	coagulation assay	inr_young_API_20	18.0	hr		1.15878787878787	1.0690909090909	0.08969696969697	0.0141823361728764		dimensionless	dimensionless
Frost2015		young	40.0	API_20	inr		plasma	coagulation assay	inr_young_API_20	24.0	hr		1.15151515151515	1.08848484848484	0.0630303030303101	0.0099659659593196		dimensionless	dimensionless
Frost2015		young	40.0	API_20	inr		plasma	coagulation assay	inr_young_API_20	36.0	hr		1.08848484848484	1.00848484848484	0.0799999999999999	0.0126491106406735		dimensionless	dimensionless
Frost2015		young	40.0	API_20	inr		plasma	coagulation assay	inr_young_API_20	48.0	hr		1.11272727272727	1.03757575757575	0.0751515151515199	0.0118824978745728		dimensionless	dimensionless
Frost2015		young	40.0	API_20	inr		plasma	coagulation assay	inr_young_API_20	72.0	hr		1.1030303030303	1.01090909090909	0.0921212121212098	0.0145656425559267		dimensionless	dimensionless
Frost2015		young	40.0	API_20	inr		plasma	coagulation assay	inr_young_API_20	96.0	hr		1.13454545454545	1.07393939393939	0.0606060606060601	0.0095826595762677		dimensionless	dimensionless
