study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Frost2021		placebo	12.0	plb	prothrombin time		plasma	coagulation assay	plb_prothrombin time	0.0	hr		53.35		8.96	0.0	assume pulled two placebo groups	sec	sec
Frost2021		placebo	12.0	plb	prothrombin time		plasma	coagulation assay	plb_prothrombin time	0.05	hr		55.5172413793103	57.0689655172413	1.551724137931	0.447944174371253	70.45	sec	sec
Frost2021		placebo	12.0	plb	prothrombin time		plasma	coagulation assay	plb_prothrombin time	0.5	hr		53.9834217506631	56.3110079575596	2.32758620689651	0.671916261556879		sec	sec
Frost2021		placebo	12.0	plb	prothrombin time		plasma	coagulation assay	plb_prothrombin time	1.0	hr		53.9983421750663	55.5470822281167	1.5487400530504	0.447082743266702		sec	sec
Frost2021		placebo	12.0	plb	prothrombin time		plasma	coagulation assay	plb_prothrombin time	2.0	hr		54.8070291777188	57.1346153846153	2.3275862068965	0.671916261556877		sec	sec
Frost2021		placebo	12.0	plb	prothrombin time		plasma	coagulation assay	plb_prothrombin time	3.0	hr		58.7191644562334	61.8226127320954	3.103448275862	0.895888348742503		sec	sec
Frost2021		placebo	12.0	plb	prothrombin time		plasma	coagulation assay	plb_prothrombin time	4.0	hr		57.1972811671087	60.3037135278514	17.0	4.90747728811182		sec	sec
Frost2021		placebo	12.0	plb	prothrombin time		plasma	coagulation assay	plb_prothrombin time	6.0	hr		70.45		19.9	5.74463517843678		sec	sec
Frost2021		placebo	12.0	plb	prothrombin time		plasma	coagulation assay	plb_prothrombin time	8.0	hr		55.7768567639257	58.098474801061	2.3216180371353	0.670193399347779		sec	sec
Frost2021		placebo	12.0	plb	prothrombin time		plasma	coagulation assay	plb_prothrombin time	12.0	hr		56.6810344827586	59.78149867374	3.10046419098141	0.895026917637955		sec	sec
Frost2021		placebo	12.0	plb	prothrombin time		plasma	coagulation assay	plb_prothrombin time	18.0	hr		58.426724137931	60.7513262599469	2.3246021220159	0.671054830452329		sec	sec
Frost2021		placebo	12.0	plb	prothrombin time		plasma	coagulation assay	plb_prothrombin time	24.0	hr		55.5172413793103	57.0689655172413	1.551724137931	0.447944174371253		sec	sec
