study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments
Garonzik2019	NA	all	19.0	TX_API5_1	concentration	apixaban	plasma	LC MS/MS	apixaban_TX_API5_1	0.0	hr	NA	0.0	NA	NA	NA	ng/ml	Samples were taken up to 72 hours later
Garonzik2019	NA	all	19.0	TX_API5_1	concentration	apixaban	plasma	LC MS/MS	apixaban_TX_API5_1	1.0	hr	NA	164.133738601823	256.838905775076	92.70516717325299	21.268023960644943	ng/ml	Samples were taken up to 72 hours later
Garonzik2019	NA	all	19.0	TX_API5_1	concentration	apixaban	plasma	LC MS/MS	apixaban_TX_API5_1	2.0	hr	NA	237.0820668693	320.668693009118	83.58662613981798	19.17608717763062	ng/ml	Samples were taken up to 72 hours later
Garonzik2019	NA	all	19.0	TX_API5_1	concentration	apixaban	plasma	LC MS/MS	apixaban_TX_API5_1	3.0	hr	NA	249.240121580547	329.787234042553	80.547112462006	18.478774916625774	ng/ml	Samples were taken up to 72 hours later
Garonzik2019	NA	all	19.0	TX_API5_1	concentration	apixaban	plasma	LC MS/MS	apixaban_TX_API5_1	4.0	hr	NA	238.601823708206	311.550151975683	72.94832826747697	16.73549426411387	ng/ml	Samples were taken up to 72 hours later
Garonzik2019	NA	all	19.0	TX_API5_1	concentration	apixaban	plasma	LC MS/MS	apixaban_TX_API5_1	6.0	hr	NA	162.613981762917	208.206686930091	45.59270516717399	10.459683915071373	ng/ml	Samples were taken up to 72 hours later
Garonzik2019	NA	all	19.0	TX_API5_1	concentration	apixaban	plasma	LC MS/MS	apixaban_TX_API5_1	8.0	hr	NA	123.100303951367	156.534954407294	33.43465045592701	7.6704348710522074	ng/ml	Samples were taken up to 72 hours later
Garonzik2019	NA	all	19.0	TX_API5_1	concentration	apixaban	plasma	LC MS/MS	apixaban_TX_API5_1	12.0	hr	NA	63.8297872340425	85.1063829787234	21.276595744680904	4.88118582703324	ng/ml	Samples were taken up to 72 hours later
Garonzik2019	NA	all	19.0	TX_API5_1	concentration	apixaban	plasma	LC MS/MS	apixaban_TX_API5_1	24.0	hr	NA	24.3161094224924	36.4741641337385	12.158054711246098	2.7892490440189643	ng/ml	Samples were taken up to 72 hours later
Garonzik2019	NA	all	18.0	TX_CLARI_1, TX_API5_2	concentration	apixaban	plasma	LC MS/MS	concomitant_TX_CLARI_1, TX_API5_2	0.0	hr	NA	0.0	NA	NA	NA	ng/ml	"Clarithromycin started on study day 4 (Day 0 for concomitant treatment). Apixaban dosing and PK sampling occurred on study day 8 (Day 5 of concomitant treatment).
Samples were taken up to 72 hours later.
One subject was discontinued from the study on day 7."
Garonzik2019	NA	all	18.0	TX_CLARI_1, TX_API5_2	concentration	apixaban	plasma	LC MS/MS	concomitant_TX_CLARI_1, TX_API5_2	1.0	hr	NA	185.410334346504	290.273556231003	104.86322188449901	24.716498430532944	ng/ml	"Clarithromycin started on study day 4 (Day 0 for concomitant treatment). Apixaban dosing and PK sampling occurred on study day 8 (Day 5 of concomitant treatment).
Samples were taken up to 72 hours later.
One subject was discontinued from the study on day 7."
