study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Frost2013a		API5x2	6.0	API5x2	mPT		plasma	coagulation assay	mPT_API5x2	0.0	hr		51.79	55.16	3.369999999999997			sec	sec
Frost2013a		API5x2	6.0	API5x2	mPT		plasma	coagulation assay	mPT_API5x2	3.0	hr		68.63	75.37	6.740000000000009			sec	sec
Frost2013a		API5x2	6.0	API5x2	mPT		plasma	coagulation assay	mPT_API5x2	6.0	hr		65.26	70.32	5.059999999999988			sec	sec
Frost2013a		API5x2	6.0	API5x2	mPT		plasma	coagulation assay	mPT_API5x2	12.0	hr		53.47	58.53	5.060000000000002			sec	sec
Frost2013a		API5x2	6.0	API5x2	mPT		plasma	coagulation assay	mPT_API5x2	18.0	hr		58.53	65.26	6.730000000000004			sec	sec
Frost2013a		API5x2	6.0	API5x2	mPT		plasma	coagulation assay	mPT_API5x2	24.0	hr		43.37	50.11	6.740000000000002			sec	sec
Frost2013a		API5x2	6.0	API5x2	mPT		plasma	coagulation assay	mPT_API5x2	144.0	hr		68.63	75.37	6.740000000000009			sec	sec
Frost2013a		API5x2	6.0	API5x2	mPT		plasma	coagulation assay	mPT_API5x2	147.0	hr		75.37	88.84	13.47			sec	sec
Frost2013a		API5x2	6.0	API5x2	mPT		plasma	coagulation assay	mPT_API5x2	150.0	hr		82.11	88.84	6.730000000000004			sec	sec
Frost2013a		API5x2	6.0	API5x2	mPT		plasma	coagulation assay	mPT_API5x2	156.0	hr		61.89	68.63	6.739999999999995			sec	sec
Frost2013a		API5x2	6.0	API5x2	mPT		plasma	coagulation assay	mPT_API5x2	162.0	hr		65.26	73.68	8.420000000000002			sec	sec
Frost2013a		API5x2	6.0	API5x2	mPT		plasma	coagulation assay	mPT_API5x2	168.0	hr		60.21	65.26	5.050000000000004			sec	sec
