study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Frost2018		japanese	12.0	API2.5	concentration	apixaban	plasma	LC MS/MS	japanese_API2.5	0.5	hr		2.393906420021763e-05					mole/meter^3	ng/ml
Frost2018		japanese	12.0	API2.5	concentration	apixaban	plasma	LC MS/MS	japanese_API2.5	1.0	hr		6.039173014145811e-05					mole/meter^3	ng/ml
Frost2018		japanese	12.0	API2.5	concentration	apixaban	plasma	LC MS/MS	japanese_API2.5	1.5	hr		8.829162132752993e-05					mole/meter^3	ng/ml
Frost2018		japanese	12.0	API2.5	concentration	apixaban	plasma	LC MS/MS	japanese_API2.5	2.0	hr		9.26006528835691e-05					mole/meter^3	ng/ml
Frost2018		japanese	12.0	API2.5	concentration	apixaban	plasma	LC MS/MS	japanese_API2.5	2.5	hr		9.482045701849837e-05					mole/meter^3	ng/ml
Frost2018		japanese	12.0	API2.5	concentration	apixaban	plasma	LC MS/MS	japanese_API2.5	3.0	hr		0.00010426550598476604					mole/meter^3	ng/ml
Frost2018		japanese	12.0	API2.5	concentration	apixaban	plasma	LC MS/MS	japanese_API2.5	4.0	hr		0.00010933623503808489					mole/meter^3	ng/ml
Frost2018		japanese	12.0	API2.5	concentration	apixaban	plasma	LC MS/MS	japanese_API2.5	6.0	hr		7.303590859630034e-05					mole/meter^3	ng/ml
Frost2018		japanese	12.0	API2.5	concentration	apixaban	plasma	LC MS/MS	japanese_API2.5	8.0	hr		4.877040261153428e-05					mole/meter^3	ng/ml
Frost2018		japanese	12.0	API2.5	concentration	apixaban	plasma	LC MS/MS	japanese_API2.5	10.0	hr		3.499455930359086e-05					mole/meter^3	ng/ml
Frost2018		japanese	12.0	API2.5	concentration	apixaban	plasma	LC MS/MS	japanese_API2.5	12.0	hr		2.570184983677911e-05					mole/meter^3	ng/ml
Frost2018		japanese	12.0	API2.5	concentration	apixaban	plasma	LC MS/MS	japanese_API2.5	18.0	hr		1.2905331882480957e-05					mole/meter^3	ng/ml
Frost2018		japanese	12.0	API2.5	concentration	apixaban	plasma	LC MS/MS	japanese_API2.5	24.0	hr		7.660500544069642e-06					mole/meter^3	ng/ml
Frost2018		japanese	12.0	API2.5	concentration	apixaban	plasma	LC MS/MS	japanese_API2.5	36.0	hr		2.50272034820457e-06					mole/meter^3	ng/ml
