study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Frost2015		elderly	39.0	API_20	inr		plasma	coagulation assay	inr_elderly_API_20	1.0	hr		1.04484848484848	1.09575757575757	0.0509090909090899	0.0081519787391679		dimensionless	dimensionless
Frost2015		elderly	39.0	API_20	inr		plasma	coagulation assay	inr_elderly_API_20	1.5	hr		1.29212121212121	1.46181818181818	0.16969696969697	0.0271732624638936		dimensionless	dimensionless
Frost2015		elderly	39.0	API_20	inr		plasma	coagulation assay	inr_elderly_API_20	2.0	hr		1.40121212121212	1.59757575757575	0.19636363636363	0.0314433465653616		dimensionless	dimensionless
Frost2015		elderly	39.0	API_20	inr		plasma	coagulation assay	inr_elderly_API_20	3.0	hr		1.54666666666666	1.73090909090909	0.18424242424243	0.029502399246514		dimensionless	dimensionless
Frost2015		elderly	39.0	API_20	inr		plasma	coagulation assay	inr_elderly_API_20	4.0	hr		1.52727272727272	1.66787878787878	0.14060606060606	0.0225149888986546		dimensionless	dimensionless
Frost2015		elderly	39.0	API_20	inr		plasma	coagulation assay	inr_elderly_API_20	6.0	hr		1.50787878787878	1.65575757575757	0.14787878787879	0.0236795572899647		dimensionless	dimensionless
Frost2015		elderly	39.0	API_20	inr		plasma	coagulation assay	inr_elderly_API_20	8.0	hr		1.42060606060606	1.5490909090909	0.12848484848484	0.0205740415798038		dimensionless	dimensionless
Frost2015		elderly	39.0	API_20	inr		plasma	coagulation assay	inr_elderly_API_20	10.0	hr		1.30666666666666	1.41818181818181	0.11151515151515	0.0178567153334155		dimensionless	dimensionless
Frost2015		elderly	39.0	API_20	inr		plasma	coagulation assay	inr_elderly_API_20	12.0	hr		1.29454545454545	1.38666666666666	0.0921212121212101	0.0147511996232562		dimensionless	dimensionless
Frost2015		elderly	39.0	API_20	inr		plasma	coagulation assay	inr_elderly_API_20	18.0	hr		1.21696969696969	1.35030303030303	0.13333333333334	0.021350420507346		dimensionless	dimensionless
Frost2015		elderly	39.0	API_20	inr		plasma	coagulation assay	inr_elderly_API_20	24.0	hr		1.17818181818181	1.23878787878787	0.0606060606060599	0.0097047365942475		dimensionless	dimensionless
Frost2015		elderly	39.0	API_20	inr		plasma	coagulation assay	inr_elderly_API_20	36.0	hr		1.11999999999999	1.18545454545454	0.0654545454545501	0.0104811155217883		dimensionless	dimensionless
Frost2015		elderly	39.0	API_20	inr		plasma	coagulation assay	inr_elderly_API_20	48.0	hr		1.12727272727272	1.18787878787878	0.0606060606060599	0.0097047365942475		dimensionless	dimensionless
Frost2015		elderly	39.0	API_20	inr		plasma	coagulation assay	inr_elderly_API_20	72.0	hr		1.11515151515151	1.18545454545454	0.0703030303030301	0.0112574944493273		dimensionless	dimensionless
Frost2015		elderly	39.0	API_20	inr		plasma	coagulation assay	inr_elderly_API_20	96.0	hr		1.10787878787878	1.17333333333333	0.0654545454545501	0.0104811155217883		dimensionless	dimensionless
