study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Frost2021		group3	6.0	IV2_5	prothrombin time		plasma	coagulation assay	IV2_5_prothrombin time	0.0	hr		54.9		2.23	0.910393687734415	132	sec	sec
Frost2021		group3	6.0	IV2_5	prothrombin time		plasma	coagulation assay	IV2_5_prothrombin time	0.05	hr		132.0		12.2	4.98062914365913		sec	sec
Frost2021		group3	6.0	IV2_5	prothrombin time		plasma	coagulation assay	IV2_5_prothrombin time	0.166666666666667	hr		109.057692307692	111.385278514588	2.327586206896	0.95023308987256		sec	sec
Frost2021		group3	6.0	IV2_5	prothrombin time		plasma	coagulation assay	IV2_5_prothrombin time	0.5	hr		91.2218169761273	94.3252652519894	3.10344827586211	1.26697745316373		sec	sec
Frost2021		group3	6.0	IV2_5	prothrombin time		plasma	coagulation assay	IV2_5_prothrombin time	1.0	hr		81.1505305039787	84.2539787798408	3.10344827586211	1.26697745316373		sec	sec
Frost2021		group3	6.0	IV2_5	prothrombin time		plasma	coagulation assay	IV2_5_prothrombin time	2.0	hr		76.5281830238726	80.4104774535808	3.8822944297082	1.58494006400575		sec	sec
Frost2021		group3	6.0	IV2_5	prothrombin time		plasma	coagulation assay	IV2_5_prothrombin time	3.0	hr		75.7881299734748	78.8885941644562	3.1004641909814	1.26575920561258		sec	sec
Frost2021		group3	6.0	IV2_5	prothrombin time		plasma	coagulation assay	IV2_5_prothrombin time	4.0	hr		78.9244031830238	82.0278514588859	3.10344827586211	1.26697745316373		sec	sec
Frost2021		group3	6.0	IV2_5	prothrombin time		plasma	coagulation assay	IV2_5_prothrombin time	6.0	hr		65.7974137931034	68.9008620689655	3.10344827586209	1.26697745316372		sec	sec
Frost2021		group3	6.0	IV2_5	prothrombin time		plasma	coagulation assay	IV2_5_prothrombin time	8.0	hr		51.8945623342175	54.222148541114	2.32758620689651	0.950233089872766		sec	sec
Frost2021		group3	6.0	IV2_5	prothrombin time		plasma	coagulation assay	IV2_5_prothrombin time	12.0	hr		62.8879310344827	65.9913793103448	3.1034482758621	1.26697745316373		sec	sec
Frost2021		group3	6.0	IV2_5	prothrombin time		plasma	coagulation assay	IV2_5_prothrombin time	18.0	hr		58.426724137931	60.7513262599469	2.3246021220159	0.949014842321661		sec	sec
Frost2021		group3	6.0	IV2_5	prothrombin time		plasma	coagulation assay	IV2_5_prothrombin time	24.0	hr		55.5142572944297	57.8418435013262	2.32758620689651	0.950233089872766		sec	sec
