study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Frost2013a		API2x2	6.0	API2x2	concentration	apixaban	plasma	LC MS/MS	apixaban_API2.5	144.0	hr		3.64961915125136e-05					mole/meter^3	ng/ml
Frost2013a		API2x2	6.0	API2x2	concentration	apixaban	plasma	LC MS/MS	apixaban_API2.5	145.0	hr		7.29923830250272e-05	44.72	2.4330794341675735e-05			mole/meter^3	ng/ml
Frost2013a		API2x2	6.0	API2x2	concentration	apixaban	plasma	LC MS/MS	apixaban_API2.5	146.0	hr		0.00010948857453754081	78.26	6.0826985854189343e-05			mole/meter^3	ng/ml
Frost2013a		API2x2	6.0	API2x2	concentration	apixaban	plasma	LC MS/MS	apixaban_API2.5	147.0	hr		0.00013381936887921656	89.44	6.082698585418934e-05			mole/meter^3	ng/ml
Frost2013a		API2x2	6.0	API2x2	concentration	apixaban	plasma	LC MS/MS	apixaban_API2.5	148.0	hr		0.0001459847660500544	89.44	4.866158868335147e-05			mole/meter^3	ng/ml
Frost2013a		API2x2	6.0	API2x2	concentration	apixaban	plasma	LC MS/MS	apixaban_API2.5	150.0	hr		9.732317736670294e-05	61.49	3.6496191512513616e-05			mole/meter^3	ng/ml
Frost2013a		API2x2	6.0	API2x2	concentration	apixaban	plasma	LC MS/MS	apixaban_API2.5	153.0	hr		6.082698585418934e-05	39.13	2.433079434167574e-05			mole/meter^3	ng/ml
Frost2013a		API2x2	6.0	API2x2	concentration	apixaban	plasma	LC MS/MS	apixaban_API2.5	156.0	hr		4.866158868335147e-05	22.36	0.0			mole/meter^3	ng/ml
Frost2013a		API2x2	6.0	API2x2	concentration	apixaban	plasma	LC MS/MS	apixaban_API2.5	157.0	hr		6.082698585418934e-05	39.13	2.433079434167574e-05			mole/meter^3	ng/ml
Frost2013a		API2x2	6.0	API2x2	concentration	apixaban	plasma	LC MS/MS	apixaban_API2.5	158.0	hr		8.515778019586508e-05	50.31	2.4330794341675735e-05			mole/meter^3	ng/ml
Frost2013a		API2x2	6.0	API2x2	concentration	apixaban	plasma	LC MS/MS	apixaban_API2.5	159.0	hr		9.732317736670294e-05	55.9	2.4330794341675735e-05			mole/meter^3	ng/ml
Frost2013a		API2x2	6.0	API2x2	concentration	apixaban	plasma	LC MS/MS	apixaban_API2.5	160.0	hr		8.515778019586508e-05	55.9	3.6496191512513595e-05			mole/meter^3	ng/ml
Frost2013a		API2x2	6.0	API2x2	concentration	apixaban	plasma	LC MS/MS	apixaban_API2.5	162.0	hr		7.29923830250272e-05	44.72	2.4330794341675735e-05			mole/meter^3	ng/ml
Frost2013a		API2x2	6.0	API2x2	concentration	apixaban	plasma	LC MS/MS	apixaban_API2.5	165.0	hr		6.082698585418934e-05	39.13	2.433079434167574e-05			mole/meter^3	ng/ml
Frost2013a		API2x2	6.0	API2x2	concentration	apixaban	plasma	LC MS/MS	apixaban_API2.5	168.0	hr		3.64961915125136e-05	27.95	2.4330794341675735e-05			mole/meter^3	ng/ml
