study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments
Frost2017	NA	api_aten	24.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	0.0	hr	NA	0.0	NA	NA	NA	ng/ml	NA
Frost2017	NA	api_aten	24.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	0.9	hr	NA	102.31	164.06	61.75	NA	ng/ml	NA
Frost2017	NA	api_aten	24.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	2.03	hr	NA	176.37	266.37	90.0	NA	ng/ml	NA
Frost2017	NA	api_aten	24.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	2.93	hr	NA	199.27	259.27	60.0	NA	ng/ml	NA
Frost2017	NA	api_aten	24.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	4.06	hr	NA	200.98	257.46	56.48	NA	ng/ml	NA
Frost2017	NA	api_aten	24.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	5.87	hr	NA	140.89	183.23	42.34	NA	ng/ml	NA
Frost2017	NA	api_aten	24.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	7.9	hr	NA	101.97	133.73	31.76	NA	ng/ml	NA
Frost2017	NA	api_aten	24.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	12.19	hr	NA	57.64	75.3	17.66	NA	ng/ml	NA
Frost2017	NA	api_aten	24.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	24.15	hr	NA	16.46	23.53	7.07	NA	ng/ml	NA
Frost2017	NA	api_aten	24.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	35.89	hr	NA	5.3	10.59	5.29	NA	ng/ml	NA
Frost2017	NA	api_aten	24.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	48.08	hr	NA	2.94	4.7	1.76	NA	ng/ml	NA
Frost2017	NA	api_aten	24.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	60.04	hr	NA	1.18	NA	NA	NA	ng/ml	NA
Frost2017	NA	api_aten	24.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	72.0	hr	NA	0.0	NA	NA	NA	ng/ml	NA
Frost2017	NA	api_aten	24.0	API10, ATEN	concentration	apixaban	plasma	LC MS/MS	apixaban_API10, ATEN	0.0	hr	NA	0.0	NA	NA	NA	ng/ml	NA
Frost2017	NA	api_aten	24.0	API10, ATEN	concentration	apixaban	plasma	LC MS/MS	apixaban_API10, ATEN	0.9	hr	NA	81.13	128.77	47.64	NA	ng/ml	NA
Frost2017	NA	api_aten	24.0	API10, ATEN	concentration	apixaban	plasma	LC MS/MS	apixaban_API10, ATEN	2.03	hr	NA	148.14	215.19	67.05	NA	ng/ml	NA
Frost2017	NA	api_aten	24.0	API10, ATEN	concentration	apixaban	plasma	LC MS/MS	apixaban_API10, ATEN	2.93	hr	NA	172.8	238.09	65.29	NA	ng/ml	NA
Frost2017	NA	api_aten	24.0	API10, ATEN	concentration	apixaban	plasma	LC MS/MS	apixaban_API10, ATEN	4.06	hr	NA	176.27	234.52	58.25	NA	ng/ml	NA
Frost2017	NA	api_aten	24.0	API10, ATEN	concentration	apixaban	plasma	LC MS/MS	apixaban_API10, ATEN	5.87	hr	NA	128.54	174.42	45.88	NA	ng/ml	NA
Frost2017	NA	api_aten	24.0	API10, ATEN	concentration	apixaban	plasma	LC MS/MS	apixaban_API10, ATEN	7.9	hr	NA	93.14	128.44	35.3	NA	ng/ml	NA
Frost2017	NA	api_aten	24.0	API10, ATEN	concentration	apixaban	plasma	LC MS/MS	apixaban_API10, ATEN	12.19	hr	NA	50.59	70.0	19.41	NA	ng/ml	NA
Frost2017	NA	api_aten	24.0	API10, ATEN	concentration	apixaban	plasma	LC MS/MS	apixaban_API10, ATEN	24.15	hr	NA	14.71	21.77	7.06	NA	ng/ml	NA
Frost2017	NA	api_aten	24.0	API10, ATEN	concentration	apixaban	plasma	LC MS/MS	apixaban_API10, ATEN	35.89	hr	NA	4.8	7.06	2.26	NA	ng/ml	NA
Frost2017	NA	api_aten	24.0	API10, ATEN	concentration	apixaban	plasma	LC MS/MS	apixaban_API10, ATEN	48.08	hr	NA	1.77	4.7	2.93	NA	ng/ml	NA
Frost2017	NA	api_aten	24.0	API10, ATEN	concentration	apixaban	plasma	LC MS/MS	apixaban_API10, ATEN	60.04	hr	NA	0.58	NA	NA	NA	ng/ml	NA
Frost2017	NA	api_aten	24.0	API10, ATEN	concentration	apixaban	plasma	LC MS/MS	apixaban_API10, ATEN	72.0	hr	NA	0.0	NA	NA	NA	ng/ml	NA
Frost2017	NA	api_aten	24.0	ATEN	concentration	atenolol	plasma	LC MS/MS	atenolol_ATEN	0.0	hr	NA	11.07	33.2	22.13	NA	ng/ml	NA
Frost2017	NA	api_aten	24.0	ATEN	concentration	atenolol	plasma	LC MS/MS	atenolol_ATEN	0.9	hr	NA	361.31	457.21	95.9	NA	ng/ml	NA
Frost2017	NA	api_aten	24.0	ATEN	concentration	atenolol	plasma	LC MS/MS	atenolol_ATEN	2.03	hr	NA	560.33	789.02	228.69	NA	ng/ml	NA
Frost2017	NA	api_aten	24.0	ATEN	concentration	atenolol	plasma	LC MS/MS	atenolol_ATEN	2.93	hr	NA	563.9	781.5	217.6	NA	ng/ml	NA
Frost2017	NA	api_aten	24.0	ATEN	concentration	atenolol	plasma	LC MS/MS	atenolol_ATEN	4.06	hr	NA	515.79	685.44	169.65	NA	ng/ml	NA
Frost2017	NA	api_aten	24.0	ATEN	concentration	atenolol	plasma	LC MS/MS	atenolol_ATEN	5.87	hr	NA	356.88	463.83	106.95	NA	ng/ml	NA
Frost2017	NA	api_aten	24.0	ATEN	concentration	atenolol	plasma	LC MS/MS	atenolol_ATEN	7.9	hr	NA	260.66	323.36	62.7	NA	ng/ml	NA
Frost2017	NA	api_aten	24.0	ATEN	concentration	atenolol	plasma	LC MS/MS	atenolol_ATEN	12.19	hr	NA	197.63	249.27	51.64	NA	ng/ml	NA
Frost2017	NA	api_aten	24.0	ATEN	concentration	atenolol	plasma	LC MS/MS	atenolol_ATEN	24.15	hr	NA	153.09	186.26	33.17	NA	ng/ml	NA
Frost2017	NA	api_aten	24.0	ATEN	concentration	atenolol	plasma	LC MS/MS	atenolol_ATEN	35.89	hr	NA	44.29	55.33	11.04	NA	ng/ml	NA
Frost2017	NA	api_aten	24.0	ATEN	concentration	atenolol	plasma	LC MS/MS	atenolol_ATEN	48.08	hr	NA	12.9	NA	NA	NA	ng/ml	NA
Frost2017	NA	api_aten	24.0	ATEN, API10	concentration	atenolol	plasma	LC MS/MS	atenolol_ATEN, API10	0.0	hr	NA	14.75	36.86	22.11	NA	ng/ml	NA
Frost2017	NA	api_aten	24.0	ATEN, API10	concentration	atenolol	plasma	LC MS/MS	atenolol_ATEN, API10	0.9	hr	NA	324.45	494.1	169.65	NA	ng/ml	NA
Frost2017	NA	api_aten	24.0	ATEN, API10	concentration	atenolol	plasma	LC MS/MS	atenolol_ATEN, API10	2.03	hr	NA	449.7	645.19	195.49	NA	ng/ml	NA
Frost2017	NA	api_aten	24.0	ATEN, API10	concentration	atenolol	plasma	LC MS/MS	atenolol_ATEN, API10	2.93	hr	NA	563.9	822.08	258.18	NA	ng/ml	NA
Frost2017	NA	api_aten	24.0	ATEN, API10	concentration	atenolol	plasma	LC MS/MS	atenolol_ATEN, API10	4.06	hr	NA	545.28	740.79	195.51	NA	ng/ml	NA
Frost2017	NA	api_aten	24.0	ATEN, API10	concentration	atenolol	plasma	LC MS/MS	atenolol_ATEN, API10	5.87	hr	NA	386.37	519.13	132.76	NA	ng/ml	NA
Frost2017	NA	api_aten	24.0	ATEN, API10	concentration	atenolol	plasma	LC MS/MS	atenolol_ATEN, API10	7.9	hr	NA	286.5	378.67	92.17	NA	ng/ml	NA
Frost2017	NA	api_aten	24.0	ATEN, API10	concentration	atenolol	plasma	LC MS/MS	atenolol_ATEN, API10	12.19	hr	NA	234.53	323.04	88.51	NA	ng/ml	NA
