study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Lenard2024		all	12.0	API25, RIV25, EDO50	concentration	apixaban	plasma	HPLC MS/MS	apixaban_API25, RIV25, EDO50	0.0	hr		0.0					mole/meter^3	pg/ml
Lenard2024		all	12.0	API25, RIV25, EDO50	concentration	apixaban	plasma	HPLC MS/MS	apixaban_API25, RIV25, EDO50	0.25	hr		2.720348204570185e-07	62.5	1.3601741022850924e-07			mole/meter^3	pg/ml
Lenard2024		all	12.0	API25, RIV25, EDO50	concentration	apixaban	plasma	HPLC MS/MS	apixaban_API25, RIV25, EDO50	0.5	hr		7.428726877040261e-07	259.62	1.7786724700761698e-07			mole/meter^3	pg/ml
Lenard2024		all	12.0	API25, RIV25, EDO50	concentration	apixaban	plasma	HPLC MS/MS	apixaban_API25, RIV25, EDO50	0.75	hr		1.109075081610446e-06	413.46	2.0927094668117517e-07			mole/meter^3	pg/ml
Lenard2024		all	12.0	API25, RIV25, EDO50	concentration	apixaban	plasma	HPLC MS/MS	apixaban_API25, RIV25, EDO50	1.0	hr		1.3183242655059848e-06	485.58	2.615669205658324e-07			mole/meter^3	pg/ml
Lenard2024		all	12.0	API25, RIV25, EDO50	concentration	apixaban	plasma	HPLC MS/MS	apixaban_API25, RIV25, EDO50	1.5	hr		1.3078563656147988e-06	485.58	2.5109902067464635e-07			mole/meter^3	pg/ml
Lenard2024		all	12.0	API25, RIV25, EDO50	concentration	apixaban	plasma	HPLC MS/MS	apixaban_API25, RIV25, EDO50	2.0	hr		1.2555386289445047e-06	442.31	2.929488574537541e-07			mole/meter^3	pg/ml
Lenard2024		all	12.0	API25, RIV25, EDO50	concentration	apixaban	plasma	HPLC MS/MS	apixaban_API25, RIV25, EDO50	2.5	hr		1.3497062023939066e-06	475.96	3.1388465723612616e-07			mole/meter^3	pg/ml
Lenard2024		all	12.0	API25, RIV25, EDO50	concentration	apixaban	plasma	HPLC MS/MS	apixaban_API25, RIV25, EDO50	3.0	hr		1.1718389553862895e-06	413.46	2.720348204570185e-07			mole/meter^3	pg/ml
Lenard2024		all	12.0	API25, RIV25, EDO50	concentration	apixaban	plasma	HPLC MS/MS	apixaban_API25, RIV25, EDO50	3.5	hr		1.03582154515778e-06	379.81	2.0924918389553863e-07			mole/meter^3	pg/ml
Lenard2024		all	12.0	API25, RIV25, EDO50	concentration	apixaban	plasma	HPLC MS/MS	apixaban_API25, RIV25, EDO50	4.0	hr		9.835038084874863e-07	370.19	1.7786724700761698e-07			mole/meter^3	pg/ml
Lenard2024		all	12.0	API25, RIV25, EDO50	concentration	apixaban	plasma	HPLC MS/MS	apixaban_API25, RIV25, EDO50	5.0	hr		8.474863982589772e-07	302.88	1.8833514689880307e-07			mole/meter^3	pg/ml
Lenard2024		all	12.0	API25, RIV25, EDO50	concentration	apixaban	plasma	HPLC MS/MS	apixaban_API25, RIV25, EDO50	6.0	hr		6.905549510337323e-07	250.0	1.464853101196953e-07			mole/meter^3	pg/ml
Lenard2024		all	12.0	API25, RIV25, EDO50	concentration	apixaban	plasma	HPLC MS/MS	apixaban_API25, RIV25, EDO50	8.0	hr		4.603699673558215e-07	173.08	8.369967355821546e-08			mole/meter^3	pg/ml
Lenard2024		all	12.0	API25, RIV25, EDO50	concentration	apixaban	plasma	HPLC MS/MS	apixaban_API25, RIV25, EDO50	10.0	hr		3.1388465723612616e-07	115.38	6.278563656147987e-08			mole/meter^3	pg/ml
Lenard2024		all	12.0	API25, RIV25, EDO50	concentration	apixaban	plasma	HPLC MS/MS	apixaban_API25, RIV25, EDO50	12.0	hr		2.3018498367791076e-07	76.92	6.278563656147987e-08			mole/meter^3	pg/ml
Lenard2024		all	12.0	API25, RIV25, EDO50	concentration	apixaban	plasma	HPLC MS/MS	apixaban_API25, RIV25, EDO50	24.0	hr		5.231773667029379e-08					mole/meter^3	pg/ml
