study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Song2015		study_3	21.0	API5_NGT_NS	concentration	apixaban	plasma	LC MS/MS	apixaban_API5_NGT_NS	0.0	hr		0.0					mole/meter^3	ng/ml
Song2015		study_3	21.0	API5_NGT_NS	concentration	apixaban	plasma	LC MS/MS	apixaban_API5_NGT_NS	0.25	hr		1.5645335372912797e-05	9.2551123880346	4.496367321395365e-06	9.811877906009567e-07		mole/meter^3	ng/ml
Song2015		study_3	21.0	API5_NGT_NS	concentration	apixaban	plasma	LC MS/MS	apixaban_API5_NGT_NS	0.5	hr		4.933131018258891e-05	36.1014872401553	2.9235582614267032e-05	6.37972715790541e-06		mole/meter^3	ng/ml
Song2015		study_3	21.0	API5_NGT_NS	concentration	apixaban	plasma	LC MS/MS	apixaban_API5_NGT_NS	1.0	hr		0.0001549131870086059	94.9383133344599	5.1699029170849846e-05	1.1281653072911878e-05		mole/meter^3	ng/ml
Song2015		study_3	21.0	API5_NGT_NS	concentration	apixaban	plasma	LC MS/MS	apixaban_API5_NGT_NS	2.0	hr		0.00024239925424667465	138.237282406625	5.844358015294455e-05	1.2753434758813678e-05		mole/meter^3	ng/ml
Song2015		study_3	21.0	API5_NGT_NS	concentration	apixaban	plasma	LC MS/MS	apixaban_API5_NGT_NS	3.0	hr		0.00025344707702102504	142.280716579347	5.619539649224375e-05	1.2262840863512517e-05		mole/meter^3	ng/ml
Song2015		study_3	21.0	API5_NGT_NS	concentration	apixaban	plasma	LC MS/MS	apixaban_API5_NGT_NS	4.0	hr		0.00024202225821359305	138.068277843501	5.8452775178139264e-05	1.2755441277812335e-05		mole/meter^3	ng/ml
Song2015		study_3	21.0	API5_NGT_NS	concentration	apixaban	plasma	LC MS/MS	apixaban_API5_NGT_NS	5.0	hr		0.0001901393285388022	105.959523407131	4.0458110867358864e-05	8.828683596408933e-06		mole/meter^3	ng/ml
Song2015		study_3	21.0	API5_NGT_NS	concentration	apixaban	plasma	LC MS/MS	apixaban_API5_NGT_NS	6.0	hr		0.00015622347809919629	87.2718438397837	3.370436486007183e-05	7.354895391508993e-06		mole/meter^3	ng/ml
Song2015		study_3	21.0	API5_NGT_NS	concentration	apixaban	plasma	LC MS/MS	apixaban_API5_NGT_NS	9.0	hr		9.721900140922895e-05	55.0025350684468	2.248183660697735e-05	4.905938953004899e-06		mole/meter^3	ng/ml
Song2015		study_3	21.0	API5_NGT_NS	concentration	apixaban	plasma	LC MS/MS	apixaban_API5_NGT_NS	12.0	hr		6.744091230833123e-05	37.1831164441439	1.3479906938989549e-05	2.941556852803814e-06		mole/meter^3	ng/ml
Song2015		study_3	21.0	API5_NGT_NS	concentration	apixaban	plasma	LC MS/MS	apixaban_API5_NGT_NS	24.0	hr		2.9244777639464205e-05	13.4379753253338	0.0	0.0		mole/meter^3	ng/ml
Song2015		study_3	21.0	API5_NGT_NS	concentration	apixaban	plasma	LC MS/MS	apixaban_API5_NGT_NS	36.0	hr		1.2387081500882218e-05	6.9682724003596	2.7778203497371507e-06	6.061700961742474e-07		mole/meter^3	ng/ml
Song2015		study_3	21.0	API5_NGT_NS	concentration	apixaban	plasma	LC MS/MS	apixaban_API5_NGT_NS	48.0	hr		8.952203718455931e-06	5.60289931075816	3.241265945870861e-06	7.073022164017076e-07		mole/meter^3	ng/ml
Song2015		study_3	21.0	API5_NGT_NS	concentration	apixaban	plasma	LC MS/MS	apixaban_API5_NGT_NS	60.0	hr		5.054695547628858e-06	3.06731345519928	1.6206329729354083e-06	3.5365110820084897e-07		mole/meter^3	ng/ml
Song2015		study_3	21.0	API5_NGT_NS	concentration	apixaban	plasma	LC MS/MS	apixaban_API5_NGT_NS	72.0	hr		5.093010311073515e-06	3.08510638297872	1.6210405768018281e-06	3.5374005465663114e-07		mole/meter^3	ng/ml
