study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Frost2013a		API10	6.0	API10	aPTT		plasma	coagulation assay	aPTT_API10	0.0	hr		31.02	33.18	2.16			sec	sec
Frost2013a		API10	6.0	API10	aPTT		plasma	coagulation assay	aPTT_API10	3.0	hr		34.68	37.06	2.3800000000000026			sec	sec
Frost2013a		API10	6.0	API10	aPTT		plasma	coagulation assay	aPTT_API10	6.0	hr		34.02	36.4	2.3799999999999955			sec	sec
Frost2013a		API10	6.0	API10	aPTT		plasma	coagulation assay	aPTT_API10	9.0	hr		34.01	37.04	3.030000000000001			sec	sec
Frost2013a		API10	6.0	API10	aPTT		plasma	coagulation assay	aPTT_API10	12.0	hr		32.7	34.43	1.7299999999999969			sec	sec
Frost2013a		API10	6.0	API10	aPTT		plasma	coagulation assay	aPTT_API10	15.0	hr		32.48	36.15	3.6700000000000017			sec	sec
Frost2013a		API10	6.0	API10	aPTT		plasma	coagulation assay	aPTT_API10	18.0	hr		32.68	37.22	4.539999999999999			sec	sec
Frost2013a		API10	6.0	API10	aPTT		plasma	coagulation assay	aPTT_API10	21.0	hr		31.81	34.83	3.02			sec	sec
Frost2013a		API10	6.0	API10	aPTT		plasma	coagulation assay	aPTT_API10	24.0	hr		30.28	33.09	2.8100000000000023			sec	sec
Frost2013a		API10	6.0	API10	aPTT		plasma	coagulation assay	aPTT_API10	144.0	hr		32.83	35.0	2.1700000000000017			sec	sec
Frost2013a		API10	6.0	API10	aPTT		plasma	coagulation assay	aPTT_API10	147.0	hr		34.55	37.15	2.6000000000000014			sec	sec
Frost2013a		API10	6.0	API10	aPTT		plasma	coagulation assay	aPTT_API10	150.0	hr		34.11	37.14	3.030000000000001			sec	sec
Frost2013a		API10	6.0	API10	aPTT		plasma	coagulation assay	aPTT_API10	153.0	hr		31.94	34.75	2.8099999999999987			sec	sec
Frost2013a		API10	6.0	API10	aPTT		plasma	coagulation assay	aPTT_API10	156.0	hr		32.58	35.39	2.8100000000000023			sec	sec
Frost2013a		API10	6.0	API10	aPTT		plasma	coagulation assay	aPTT_API10	159.0	hr		32.78	36.03	3.25			sec	sec
Frost2013a		API10	6.0	API10	aPTT		plasma	coagulation assay	aPTT_API10	162.0	hr		32.34	34.5	2.1599999999999966			sec	sec
Frost2013a		API10	6.0	API10	aPTT		plasma	coagulation assay	aPTT_API10	165.0	hr		31.46	34.49	3.030000000000001			sec	sec
Frost2013a		API10	6.0	API10	aPTT		plasma	coagulation assay	aPTT_API10	168.0	hr		30.8	33.18	2.379999999999999			sec	sec
