study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Bashir2018		all	12.0	API10, CYC100	concentration	apixaban	plasma	HPLC MS	apixaban_API10, CYC100	0.0	hr		0.0					mole/meter^3	ng/ml
Bashir2018		all	12.0	API10, CYC100	concentration	apixaban	plasma	HPLC MS	apixaban_API10, CYC100	1.0	hr		0.0003248422198041349					mole/meter^3	ng/ml
Bashir2018		all	12.0	API10, CYC100	concentration	apixaban	plasma	HPLC MS	apixaban_API10, CYC100	2.0	hr		0.00040005223068552783					mole/meter^3	ng/ml
Bashir2018		all	12.0	API10, CYC100	concentration	apixaban	plasma	HPLC MS	apixaban_API10, CYC100	3.0	hr		0.0005008639825897715					mole/meter^3	ng/ml
Bashir2018		all	12.0	API10, CYC100	concentration	apixaban	plasma	HPLC MS	apixaban_API10, CYC100	4.0	hr		0.00047206093579978245					mole/meter^3	ng/ml
Bashir2018		all	12.0	API10, CYC100	concentration	apixaban	plasma	HPLC MS	apixaban_API10, CYC100	6.0	hr		0.00033604352557127314					mole/meter^3	ng/ml
Bashir2018		all	12.0	API10, CYC100	concentration	apixaban	plasma	HPLC MS	apixaban_API10, CYC100	12.0	hr		0.00012481610446137106					mole/meter^3	ng/ml
Bashir2018		all	12.0	API10, CYC100	concentration	apixaban	plasma	HPLC MS	apixaban_API10, CYC100	24.0	hr		4.480522306855278e-05					mole/meter^3	ng/ml
Bashir2018		all	12.0	API10, CYC100	concentration	apixaban	plasma	HPLC MS	apixaban_API10, CYC100	48.0	hr		0.0					mole/meter^3	ng/ml
Bashir2018		all	12.0	API10, CYC100	concentration	apixaban	plasma	HPLC MS	apixaban_API10, CYC100	72.0	hr		0.0					mole/meter^3	ng/ml
