study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments
Bashir2018	NA	all	12.0	API10	concentration	apixaban	plasma	HPLC MS	apixaban_API10_B	0.0	hr	NA	0.0	NA	NA	NA	ng/ml	NA
Bashir2018	NA	all	12.0	API10	concentration	apixaban	plasma	HPLC MS	apixaban_API10_B	1.0	hr	NA	116.959	NA	NA	NA	ng/ml	NA
Bashir2018	NA	all	12.0	API10	concentration	apixaban	plasma	HPLC MS	apixaban_API10_B	2.0	hr	NA	163.743	NA	NA	NA	ng/ml	NA
Bashir2018	NA	all	12.0	API10	concentration	apixaban	plasma	HPLC MS	apixaban_API10_B	3.0	hr	NA	168.421	NA	NA	NA	ng/ml	NA
Bashir2018	NA	all	12.0	API10	concentration	apixaban	plasma	HPLC MS	apixaban_API10_B	4.0	hr	NA	160.234	NA	NA	NA	ng/ml	NA
Bashir2018	NA	all	12.0	API10	concentration	apixaban	plasma	HPLC MS	apixaban_API10_B	6.0	hr	NA	107.602	NA	NA	NA	ng/ml	NA
Bashir2018	NA	all	12.0	API10	concentration	apixaban	plasma	HPLC MS	apixaban_API10_B	12.0	hr	NA	43.86	NA	NA	NA	ng/ml	NA
Bashir2018	NA	all	12.0	API10	concentration	apixaban	plasma	HPLC MS	apixaban_API10_B	24.0	hr	NA	21.053	NA	NA	NA	ng/ml	NA
Bashir2018	NA	all	12.0	API10	concentration	apixaban	plasma	HPLC MS	apixaban_API10_B	48.0	hr	NA	4.678	NA	NA	NA	ng/ml	NA
Bashir2018	NA	all	12.0	API10	concentration	apixaban	plasma	HPLC MS	apixaban_API10_B	72.0	hr	NA	1.754	NA	NA	NA	ng/ml	NA
Bashir2018	NA	all	12.0	API10, TAC5	concentration	apixaban	plasma	HPLC MS	apixaban_API10, TAC5	0.0	hr	NA	0.0	NA	NA	NA	ng/ml	NA
Bashir2018	NA	all	12.0	API10, TAC5	concentration	apixaban	plasma	HPLC MS	apixaban_API10, TAC5	1.0	hr	NA	102.924	NA	NA	NA	ng/ml	NA
Bashir2018	NA	all	12.0	API10, TAC5	concentration	apixaban	plasma	HPLC MS	apixaban_API10, TAC5	2.0	hr	NA	129.24	NA	NA	NA	ng/ml	NA
Bashir2018	NA	all	12.0	API10, TAC5	concentration	apixaban	plasma	HPLC MS	apixaban_API10, TAC5	3.0	hr	NA	156.725	NA	NA	NA	ng/ml	NA
Bashir2018	NA	all	12.0	API10, TAC5	concentration	apixaban	plasma	HPLC MS	apixaban_API10, TAC5	4.0	hr	NA	126.901	NA	NA	NA	ng/ml	NA
Bashir2018	NA	all	12.0	API10, TAC5	concentration	apixaban	plasma	HPLC MS	apixaban_API10, TAC5	6.0	hr	NA	97.076	NA	NA	NA	ng/ml	NA
Bashir2018	NA	all	12.0	API10, TAC5	concentration	apixaban	plasma	HPLC MS	apixaban_API10, TAC5	12.0	hr	NA	40.351	NA	NA	NA	ng/ml	NA
Bashir2018	NA	all	12.0	API10, TAC5	concentration	apixaban	plasma	HPLC MS	apixaban_API10, TAC5	24.0	hr	NA	14.035	NA	NA	NA	ng/ml	NA
Bashir2018	NA	all	12.0	API10, TAC5	concentration	apixaban	plasma	HPLC MS	apixaban_API10, TAC5	48.0	hr	NA	0.0	NA	NA	NA	ng/ml	NA
Bashir2018	NA	all	12.0	API10, TAC5	concentration	apixaban	plasma	HPLC MS	apixaban_API10, TAC5	72.0	hr	NA	0.0	NA	NA	NA	ng/ml	NA
