study	individual	group	count	intervention	time	time_unit	x_measurement_type	x_substance	x_tissue	x_method	x_label	x	x_unit	y_measurement_type	y_tissue	y_method	y_label	y	y_mean_pm	y_sd	y_se	y_unit	comments
Frost2021		group_po	3.0	PO5	NR	NR	concentration	apixaban	plasma	LC/MS	PO5_apixaban_plasma_vs_Anti-factor Xa activity_ng	3.451106885843526e-05	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	PO5_Anti-factor Xa activity_vs_apixaban_ng	18.8172043010749				ng/ml	
Frost2021		group_po	3.0	PO5	NR	NR	concentration	apixaban	plasma	LC/MS	PO5_apixaban_plasma_vs_Anti-factor Xa activity_ng	4.603546719009989e-05	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	PO5_Anti-factor Xa activity_vs_apixaban_ng	22.5806451612902				ng/ml	
Frost2021		group_po	3.0	PO5	NR	NR	concentration	apixaban	plasma	LC/MS	PO5_apixaban_plasma_vs_Anti-factor Xa activity_ng	6.908426385342937e-05	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	PO5_Anti-factor Xa activity_vs_apixaban_ng	30.1075268817203				ng/ml	
Frost2021		group_po	3.0	PO5	NR	NR	concentration	apixaban	plasma	LC/MS	PO5_apixaban_plasma_vs_Anti-factor Xa activity_ng	7.476880534856321e-05	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	PO5_Anti-factor Xa activity_vs_apixaban_ng	41.3978494623656				ng/ml	
Frost2021		group_po	3.0	PO5	NR	NR	concentration	apixaban	plasma	LC/MS	PO5_apixaban_plasma_vs_Anti-factor Xa activity_ng	9.787972814845157e-05	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	PO5_Anti-factor Xa activity_vs_apixaban_ng	41.3978494623656				ng/ml	
Frost2021		group_po	3.0	PO5	NR	NR	concentration	apixaban	plasma	LC/MS	PO5_apixaban_plasma_vs_Anti-factor Xa activity_ng	0.00011515079411180892	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	PO5_Anti-factor Xa activity_vs_apixaban_ng	48.9247311827957				ng/ml	
Frost2021		group_po	3.0	PO5	NR	NR	concentration	apixaban	plasma	LC/MS	PO5_apixaban_plasma_vs_Anti-factor Xa activity_ng	0.0001208663986752222	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	PO5_Anti-factor Xa activity_vs_apixaban_ng	56.4516129032258				ng/ml	
Frost2021		group_po	3.0	PO5	NR	NR	concentration	apixaban	plasma	LC/MS	PO5_apixaban_plasma_vs_Anti-factor Xa activity_ng	0.0001496618629702444	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	PO5_Anti-factor Xa activity_vs_apixaban_ng	67.7419354838707				ng/ml	
Frost2021		group_po	3.0	PO5	NR	NR	concentration	apixaban	plasma	LC/MS	PO5_apixaban_plasma_vs_Anti-factor Xa activity_ng	0.00016693292893360173	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	PO5_Anti-factor Xa activity_vs_apixaban_ng	75.2688172043008				ng/ml	
Frost2021		group_po	3.0	PO5	NR	NR	concentration	apixaban	plasma	LC/MS	PO5_apixaban_plasma_vs_Anti-factor Xa activity_ng	0.00016683973972876347	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	PO5_Anti-factor Xa activity_vs_apixaban_ng	86.5591397849461				ng/ml	
Frost2021		group_po	3.0	PO5	NR	NR	concentration	apixaban	plasma	LC/MS	PO5_apixaban_plasma_vs_Anti-factor Xa activity_ng	0.00018426612103351794	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	PO5_Anti-factor Xa activity_vs_apixaban_ng	75.2688172043008				ng/ml	
Frost2021		group_po	3.0	PO5	NR	NR	concentration	apixaban	plasma	LC/MS	PO5_apixaban_plasma_vs_Anti-factor Xa activity_ng	0.00021303052226026052	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	PO5_Anti-factor Xa activity_vs_apixaban_ng	90.322580645161				ng/ml	
Frost2021		group_po	3.0	PO5	NR	NR	concentration	apixaban	plasma	LC/MS	PO5_apixaban_plasma_vs_Anti-factor Xa activity_ng	0.00025322613261382807	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	PO5_Anti-factor Xa activity_vs_apixaban_ng	120.430107526881				ng/ml	
Frost2021		group_po	3.0	PO5	NR	NR	concentration	apixaban	plasma	LC/MS	PO5_apixaban_plasma_vs_Anti-factor Xa activity_ng	0.0003339279840037606	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	PO5_Anti-factor Xa activity_vs_apixaban_ng	143.010752688172				ng/ml	
Frost2021		group_po	3.0	PO5	NR	NR	concentration	apixaban	plasma	LC/MS	PO5_apixaban_plasma_vs_Anti-factor Xa activity_ng	0.00034557663460854405	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	PO5_Anti-factor Xa activity_vs_apixaban_ng	131.720430107526				ng/ml	
Frost2021		group_po	3.0	PO5	NR	NR	concentration	apixaban	plasma	LC/MS	PO5_apixaban_plasma_vs_Anti-factor Xa activity_ng	0.00035126117610367793	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	PO5_Anti-factor Xa activity_vs_apixaban_ng	143.010752688172				ng/ml	
